id	name	type	value	description
10099	Casual Wear	armor_chest	15	Ordinary clothes worn in the kingdom.
10100	Tunic of Ardent Fanatic	armor_chest	10	The attire of merciless exterminators of evil spirits and heresy.
10101	Unseen Mage Robes	armor_chest	10	Created by the idiotic fashionistas of Icemist.
10102	Villainous Mantle	cloak	5900	From the shoulder of the dark villain.
10103	Leather Сloak	armor_chest	2100	Stylish, but long ago decayed and rotten.
10106	Dildo	WEAPON	15	It can also be used in a fight.
10107	Dumbbell	WEAPON	25	In the right hands, it can be a formidable weapon, and maybe not.
10108	Summon girl	SCROLL	1000	Girl for an hour.
10109	Knickers	armor_legs	105	Great pantaloons for training.
10110	Pants	armor_legs	45	Someone's insulated underpants, can be well washed and worn.
10111	Protein Mixed Fodder	POTION	175	This is what athletes eat or feed pigs. Adds +5 to melee attack for 20 seconds.
10112	Drumsticks	WEAPON	700	It seems to be a musical instrument, but you can hit someone on the head with it.
10113	Leather Jacket	armor_chest	3000	Leather jacket of a real rocker!
10114	Vodka	POTION	170	Home-made strong moonshine!(-50hp, +3 to melee attack for 40 sec).
10115	Ethanol	POTION	2000	Adds +100 to melee attack for 3 seconds, -30hp.
10116	Flailing Enemies	WEAPON	11000	The sword of the Elf King, which the sorcerer appropriated for himself.
10117	Magic Phial	necklace	7800	A crystal vessel containing magical light.
10118	Death of Heroes	WEAPON	19000	The weapon of the Lord of Evil.
10119	King Maul	WEAPON	11200	The Sea King's weapon.
10120	Dragon Egg	general	19000	It is very appreciated by collectors of jewelry, the main thing is that no one hatches out of it.
10121	Magic Elixir	POTION	8000	Raises the dead from their graves.
10122	Volyn	WEAPON	1900	Some kind of strange weapon.
10123	Gangster Bit	WEAPON	500	And again, sports equipment turns into a formidable weapon.
10124	Staff of Madman	WEAPON	3400	Even psychos know about powerful weapons.
10125	Chop	SHIELD	3300	A great axe to chop meat or your enemies.
10126	Hell Axe	WEAPON	10	It's time to roast your enemies properly!
10127	Summon of demon	SCROLL	15000	Summon a hefty demon to help for 30 sec!
10128	Exterminator	WEAPON	25000	It's time to exterminate the parasites!
10129	Exterminator	WEAPON	27000	It's time to exterminate the parasites!
10130	Call of Nature	SCROLL	10000	Wildlife is rushing to your aid!
10131	Book of all Knowledge Tome	POTION	50000	The main thing is that the brain does not explode from the flow of information!
