progress	description	description_ES	actions
0	A key to the past	Una llave al pasado	
10	I learned that my grandfather was Tremadan of Myros, an imperial Arch-mage, hundreds of years old, and very powerful. But all I got from him is a mysterious key. Sadly, the man who could have told me more has been murdered by The Forsaken. One thing I know is he lived in a tower. Maybe, in a large library, I could find references to him, or where that tower was located. There's such libraries in the Kingdom's capitals, but gaining access to them isn't easy.	He descubierto que mi abuelo era Tremadan de Myros, un Archimago imperial que vivió varios siglos, muy poderoso. Pero lo único que me ha quedado de él es esta extraña llave. Por desgracia, el hombre que me podría haber explicado todo acerca de este asunto ha siso asesinado por Los Olvidados. Una cosa que he averiguado es que vivía en una torre. Quizá en una gran biblioteca pueda encontrar referencias a él, o a la torre donde vivía. Hay bibliotecas así en las capitales de los Reinos, pero acceder a ellas no es sencillo.	
15	The Librarian Rur'âzar is researching for me where could be the Tower of Tremadan. He asked me for a couple Minotaur Horns in exchange, and warned it could take him a while to find the information.	El bibliotecario Rur'âzar está investigando dónde puede encontrarse la Torre de Tremadan. Me ha pedido a cambio dos Cuernos de Minotauro, y me ha advertido que le puede llevar algún tiempo averiguar dónde está la torre.	
20	Finally, I learned that Tremadan's tower was located somewhere in the Jabal Hills. At least, books say that my grandfather lived there, fifty years ago.	Finalmente he descubierto que la torre de Tremadan está en algún lugar de las Colinas de Jabal. Al menos, los libros aseguran que vivió allí hace cincuenta años.	
25	I entered Tremadan's Tower, and met a strange creature called Trix.	Entré en la Torre de Tremadan, y he conocido a la extraña criatura Trix.	
30	I entered Tremadan's Tower, and met a strange creature called Trix. He told me the access to the upper levels is sealed... I have the key, but apparently it's not enough, it must be magically charged. I agreed to bring him one of the three Crystals from the lower levels, powerful artifacts that Trix can use to reactivate the magical key.	Entré en la Torre de Tremadan, y he conocido a la extraña criatura Trix. Me ha dicho que el acceso a los niveles superiores está sellado... Tengo la llave, pero es necesario un gran poder mágico para activarla. Le dije que le llevaría los uno de los tres Cristales que se encuentran en los niveles inferiores.	
40	Trix charged the key and activated the warded door of the Tower of Tremadan. Now I can go upstairs and know about my grandfather's legacy.	Trix ha cargado la llave y reactivado la Puerta Mágica de la Torre de Tremadan. Ahora ya puedo ascender al nivel superior y conocer el legado de mi abuelo.	
50	I entered the tower upper levels...	He entrado en el nivel superior de la torre...	
60	There is a strange ghostly figure resembling an old man... May he be my grandfather's ghost?	Hay una extraña figura transparente que parece un anciano... Podría ser el fantasma de mi abuelo?	
100	I talked to Tremadan's Phantom and finally have learned about my legacy. Or at least some of it, as he seems to keep some secrets from me.	He hablado con el fantasma de Tremadan y finalmente he conocido mi legado. O al menos parte de él, ya que parece guardar algunos secretos. 	
