id	rarity	spawn_id	spawn_id_2	spawn_id_3	item_id	target	target_ES	reward_table	difficulty	locations	duration_max	top_faction	faction_gain	faction_loss	rival_faction_loss	minlevel	maxlevel
ring1	C			0	10010			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	2	12
ring2	C			0	10011			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	2	12
ring3	C			0	10012			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	2	12
ring4	C			0	10013			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	2	12
ring5	C			0	10014			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	2	12
ring6	C			0	10015			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	2	12
ring7	C			0	10016			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	2	12
ring8	C			0	10017			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	5	12
ring9	C			0	10018			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	5	12
ring10	C			0	10019			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	5	12
ring11	C			0	10020			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	5	12
ring12	C			0	10021			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	8	15
ring13	C			0	10022			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	8	15
ring14	C			0	10023			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	8	15
ring15	C			0	10024			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	8	15
ring16	C			0	10025			gold	1	"H10_mine_2;G9_cave_1;H9_lair_1;H9_lair_2;H10_tomb_2;H8_tomb_2;H8_tomb_3;G10_tomb_1;G10_tomb_2;G10_tomb_3"	10	70	2	1	0	8	15
book1	C			0	10001			gold	0	"H10_mine_1;H10_mine_2;G9_cave_2;H9_lair_3;H10_tomb_1;H10_tomb_2;H10_tomb_3;H8_tomb_1;G10_tomb_1;G10_tomb_2;G10_tomb_3"	8	70	2	1	0	2	12
