progress	description	description_ES	actions
0	Where is Amarisa?	¿Dónde está Amarisa?	
10	A young magician called Amarisa used her last power to help me escape from my cell. I am her only hope now... I should try to reach her cell before they take her away.	Una joven maga llamada Amarisa usó lo que le quedaba de magia para ayudarme a escapar de la celda. Ahora soy su única esperanza de escapar. Debería localizar su celda antes de que se la lleven.	
20	A young magician called Amarisa used her last power to help me escape from my cell. But when I finally reached her cell, she was gone. Probably The Forsaken took her away.	Una joven maga llamada Amarisa usó lo que le quedaba de magia para ayudarme a escapar de la celda. Pero cuando finalmente encontré su celda, ya no estaba. Seguramente Los Olvidados aun la tiene en su poder.	
25	The Librarian Rur'âzar is researching for me about The Forsaken, which I believe is holding Amarisa captive. He asked me for three Fire Salts in exchange, and warned it could take him a while to find the information.	El bibliotecario Rur'âzar está investigando acerca de Los Olvidados, que creo que tiene prisionera a Amarisa. Me ha pedido a cambio tres Sales de Fuego, y me ha advertido que le puede llevar algún tiempo averiguar dónde está la torre.	
30	"I found some information about The Forsaken, the strange organization that abducted me and still keeps Amarisa captive. The clues point at the Wyvern Mountains; However, the information is decades old, so it may very well be an abandoned lair from these strange Forsaken."	He encontrado información acerca de dónde encontrar a Los Olvidados, la extraña organización que me secuestró, y que aún tiene prisionera a Amarisa. Las pistas apuntan a las Montañas Wyvern. No obstante, la información es muy antigua, así que es muy posible que ya no sigan allí.	
40	Amarisa is my sister, and the Forsaken plan to use her blood in a ritual that will destroy our world. I must find her and save her!	Amarisa es mi hermana, y Los Olvidados planean usar su sangre en un ritual que destruirá nuestro mundo. ¡Debo encontrarla y salvarla!	
50	The only way to find my sister is to reconstruct the Eye of Tol. Once I find the location of the Forsaken, I will find her as well.	La única forma de encontrar a mi hermana es reconstruir el Ojo de Tol. Una vez encuentre la guarida de los Olvidados, la encontraré a ella.	
60	I found out that Amarisa tried to sabotage the Magister's plans, but she failed and was locked up. At least she is still alive.	He averiguado que Amarisa intentó sabotear los planes del Maestro, pero no lo consiguió y ha sido encerrada. Al menos sigue viva.	
70	I found Amarisa! She's locked in a cell, inside the Ark. I must disable the magical barrier holding her, somehow.	He encontrado a Amarisa! Estaba en una celda en el interior del Arca. Debo desactivar la barrera que la retiene.	
80	I released Amarisa. Now I should talk to her.	He liberado a Amarisa. Ahora debo hablar con ella.	
85	I decided to ask Amarisa to join me for the final battle with the Magister.	He decidido pedir a Amarisa que se una a mí en la batalla final contra el Maestro.	
90	It turns out Amarisa has chosen to side with the humans, and escaped to try to destroy the Gate. I must stop her before she succeeds.	Sucede que Amarisa ha decidido ponerse del lado de los humanos y destruir la Puerta. Debo detenerla antes de que lo haga.	
95	It turns out Amarisa has chosen to side with the humans, and escaped to try to destroy the Gate. I am fighting her now.	Sucede que Amarisa ha decidido ponerse del lado de los humanos y destruir la Puerta. Estoy luchando con ella.	
100	I saved my sister Amarisa. I hope I can save the world and get to know her better.	He salvado a mi hermana Amarisa. Espero poder salvar el mundo y tener la oportunidad de conocerla mejor.	
200	Amarisa died. It might have been a mistake to put her life in such a risk.	Amarisa ha muerto. Puede haber sido un error arriesgar su vida así.	
210	I defeated Amarisa, she won't stand in my way to become immortal and abandon this dying world.	He vencido a Amarisa. Nadie se pondrá en mi camino, conseguiré la inmortalidad y abandonar este mundo moribundo.	
