spawn_ID	name	name_ES	russian	PT	DE	PL	CZ	TR	IT	FR
batrax	Batrax	Batrax	Батракс	Batrax	Batrax	Batrax	Batrax	Batrax	Batrax	
batrax_theurgist	Batrax Theurgist	Teurgista Batrax	Батракс-маг	Batrax Teurgista	Batrax-Magier	Batrax teurg	Batrax Theurgista	Batrax Müneccim	Teurgista Batrax	
worm	Carrion Eater	Comecarroña	Падальщик	Carniceiro	Aasfresser	Trupojad	Červ	Leş Yiyici	Mangiacarogne	
devourer	Devourer	Devorador	Пожиратель	Devorador	Verschlinger	Pożeracz	Požírač	Devourer	Divoratore	
spider_lesser	Inori Spider	Araña de Inori	Инорийский паук	Aranha de Inori	Inori-Spinne	Pająk Inori	Inorský pavouk	Inori Örümceği	Ragno di Inori	
bloodcrawler	Bloodcrawler	Devorador	Кровожвал	Devorador	Blutkriecher	Gryziel	Krvežíznivý pavouk	Leş Örümceği	Divoratore	
spider	Giant Spider	Araña Gigante	Паук-гигант	Aranha Gigante	Riesenspinne	Wielki pająk	Obrovský pavouk	Dev Örümcek	Ragno Gigante	
sand_spider	Sand Spider	Araña de Arena	Песчаный паук	Aranha de Areia	Sandspinne	Pustynny pająk	Písečný pavouk	Kum Örümceği	Ragno della Sabbia	
spider_monstruous	Monstruous Spider	Araña Monstruosa	Чудовищный Паук	Aranha Monstruosa	Monströse Spinne	Olbrzymi pająk	Monstrózní pavouk	Devasa Örümcek	Ragno Mostruoso	
grey_wolf	Grey Wolf	Lobo Gris	Серый Волк	Lobo Cinzento	Grauer Wolf	Szary wilk	Šedý vlk	Gri Kurt	Lupo Grigio	
tamed_wolf	Wolf	Lobo	Волк	Lobo	Wolf	Oswojony wilk	Ochočený vlk	Kurt	Lupo ammansito	
wolf	Wolf	Lobo	Волк	Lobo	Wolf	Wilk	Vlk	Kurt	Lupo	
dire_wolf	Dire Wolf	Lobo Salvaje	Лютый Волк	Lobo Feroz	Wilder Wolf	Wilkor	Hrozivý vlk	Ulu Kurt	Lupo Selvaggio	
coyote	Coyote	Coyote	Койот	Coiote	Kojote	Kojot	Kojot	Çakal	Coyote	
rat	Rat	Rata	Крыса	Rato	Ratte	Szczur	Krysa	Sıçan	Ratto	
bear	Bear	Oso	Медведь	Urso	Bär	Niedźwiedź	Medvěd	Ayı	Orso	
sabercat	Sabercat	Tigre	Саблезуб	Tigre	Tiger	Tygrys	Šavlozubý tigr	Kaplan	Tigre	
sabercat_alpha	Sabercat Alpha	Tigre Alpha	Саблезуб Альфа	Tigre Alfa	Alpha-Tiger	Tygrys alfa	Šavlozubý tigr alfa	Alfa Kaplan	Tigre Denti a sciabola	
sabercat_corrupted	Corrupted Sabercat	Tigre Corrupto	Проклятый Саблезуб	Tigre Corrompido	Besessener Tiger	Skażony tygrys	Očarovaný šavlozubý tigr	Yozlaşmış Kaplan	Tigre Corrotta	
polar_bear	Winter Bear	Oso	Белый Медведь	Urso Polar	Eisbär	Niedźwiedź	Polární medvěd	Kış Ayısı	Orso Bianco	
vorator	Vorator	Vorator	Воратор	Vorator	Vorator	Vorator	Vorator	Vorator	Vorator	
vorator_matriarch	Matriarch Voratrix	Matriarca Vorator	Воратор-матриарх	Vorator Matriarca	Vorator Matriarchin	Matka rodu	Matriarcha Voratorů	Kraliçe Vorator	Matriarca Vorator	
vorator_grozza	Grozza the Insatiable	Grozza la Insaciable	Грозза Ненасытный	Grozza o Insaciável	Grozza der Unersättliche	Grozza Nienasycona	Nenasytná Grozza	Aç Gözlü Grozza	Grozza la Insaziabile	
polar_elder	Primeval Bear	Oso Anciano	Медведь-патриарх	Urso Ancião	Urzeitlicher Bär	Prastary niedźwiedź	Prastarý medvěd	İlkel Ayı	Orso Primitivo	
giant_rat	Giant Rat	Rata Gigante	Гигантская крыса	Rato Gigante	Riesenratte	Wielki szczur	Obrovská krysa	Dev Sıçan	Ratto Gigante	
swamp_rat	Swamp Scavenger	Carroñero	Болотный Падальщик	Coletor do Pântano	Sumpfratte	Bagienny ścierwojad	Bažinná krysa	Bataklık Leşçisi	Saprofago Palustre	
enraged_rat	Enraged Giant Rat	Rata gigante furiosa	Разъярённая Крыса-гигант	Rato Gigante Furioso	Wütende Riesenratte	Rozjuszony wielki szczur	Rozzuřená obrovská krysa	Kuduz Dev Sıçan	Ratto gigante furioso	
white_wolf	White Wolf	Lobo Blanco	Белый Волк	Lobo Branco	Weißer Wolf	Biały wilk	Bílý vlk	Ak Kurt	Lupo Bianco	
hellhound	Hell Hound	Sabueso Infernal	Адская Псина	Cão Infernal	Höllenhund	Ogar piekieł	Pekelný pes	Cehennem Tazısı	Segugio Infernale	
goblin	Goblin	Goblin	Гоблин	Goblin	Goblin	Goblin	Skřet	Goblin	Goblin	
goblin_spearman	Goblin Warrior	Guerrero Goblin	Гоблин-воин	Goblin Guerreiro	Goblin-Krieger	Goblin wojownik	Skřetí válečník	Goblin Savaşçı	Goblin Guerriero	
goblin_archer	Goblin Spearman	Goblin Arquero	Гоблин-копейщик	Goblin Lanceiro	Goblin-Speerwerfer	Goblin oszczepnik	Skřetí kopiník	Goblin Mızrakçı	Goblin Arciere	
goblin_guardian	Goblin Guardian	Guardián Goblin	Гоблин-страж	Goblin Guardião	Goblin-Wächter	Goblin strażnik	Skřetí střážce	Goblin Muhafız	Goblin Guardiano	
goblin_sergeant	Goblin Sergeant	Sargento Goblin	Сержант Гоблинов	Goblin Sargento	Goblin-Sergeant	Goblin sierżant	Skřetí důstojník	Goblin Çavuşu	Sergente Goblin	
goblin_beastlord	Goblin Beastlord	Maestro de Bestias Goblin	Гоблин-дрессировщик	Goblin Mestre das Bestas	Goblin-Biestmeister	Goblin władca bestii	Skřetí Šelm-mistr	Goblin Canavar Terbiyecisi	Signore delle Bestie Goblin	
goblin_firedancer	Goblin Firedancer	Danzafuegos Goblin	Гоблин-огнепоклонник	Goblin Dançarino de Fogo	Goblin-Feuertänzer	Goblin tancerz ognia	Skřetí pyromancer	Goblin Ateş Cambazı	Danzafuoco Goblin	
goblin_firelord	Goblin Firelord	Maestro del Fuego	Гоблин Повелитель Огня	Goblin Mestre do Fogo	Goblin-Feuermeister	Goblin władca ognia	Vyšší skřetí pyromancer	Goblin Ateş Lordu	Signore del Fuoco Goblin	
goblin_firedancer_izharrak	Firedancer Izharrak	Danzafuegos Izharrak	Ижаррак Огнепляс	Dançarino das Chamas Izharrak	Flammentänzer Itharrak	Izharrak tancerz ognia	Pyromancer Izharrak	Ateş Cambazı Izharrak	Danzafuoco Izharrak	
goblin_king	Goblin King	Rey Goblin	Король Гоблинов	Rei Goblin	Goblin-König	Król goblinów	Skřetí král	Goblin Kralı	Re Goblin	
hobgoblin_warrior	Hobgoblin	Hobgoblin	Хобгоблин	Hobgoblin	Hobgoblin	Hobgoblin	Hobskřet	Hobgoblin	Hobgoblin	
ice_shaman	Ice Shaman	Shaman de Hielo	Шаман Льда	Xamã de Gelo	Eisschamane	Szaman lodu	Ledový šaman	Buz Şamanı	Sciamano dei Ghiacci	
hobgoblin_warlord	Ice Warlord	Jefe Hobgoblin	Воитель Льда	Chefe Hobgoblin	Eiskriegsherr	Władca lodu	Ledový válečník	Buz Kumandanı	Capo Hobgoblin	
orc	Orc Grunt	Soldado Orco	Мерзкий Орк	Soldado Orc	Ork-Knecht	Ork trep	Orcký bojovník	Ork Azap	Orco Soldato	
orc_warrior	Orc Warrior	Guerrero Orco	Орк-боец	Guerreiro Orc	Ork-Krieger	Ork wojownik	Orcký válečník	Ork Savaşçı	Orco Guerriero	
orc_archer	Orc Archer	Arquero Orco	Орк-лучник	Arqueiro Orc	Ork-Bogenschütze	Ork łucznik	Orcký lučistník	Ork Okçusu	Orco Arciere	
orc_elite	Orc Elite	Orco Élite	Элитный Орк	Orc de Elite	Ork-Elitesoldat	Elitarny ork	Orcký elitní bojovník	Seçkin Ork	Orco Elite	
orc_trooper	Orc Trooper	Orco de Asalto	Орк-солдат	Orc de Assalto	Ork-Soldat	Ork żołnierz	Orcký útočník	Ork Piyade	Orco d'Assalto	
orc_shooter	Orc Shooter	Tirador Orco	Орк-стрелок	Orc Atirador	Ork-Schütze	Ork strzelec	Orcký střelec	Ork Nişancı	Orco Tiratore	
