conditions	variables
VariableGreater#want_letter_back,49	"conv_magistrate_old;conv_magistrate_secret;conv_magistrate_inh;cell_noise"
VariableGreater#fair_deal,9	robbed_wizard
VariableGreater#warrior_honor,9	rumor_grisenda
VariableGreater#find_constanze,19	rumor_constanze
VariableGreater#prisoner_orcs,99	areyouanorc
VariableGreater#want_letter_back,9	rumor_zaniel
VariableGreater#coyote_hunt,9	"ask_deadwood;salute_rhoneis"
PlayerIsLevel#4	"rumor_monstersnight;rumor_goblins"
VariableGreater#key_to_past,29	"tmp_tower_outside_door;tmp_question_stairs;tmp_tower_havekey;tmp_trix_open"
VariableGreater#want_letter_back,10	robbed_guard
VariableGreater#EXP_E8_cave,0	rumor_trolls
VariableGreater#wolf_hunt,0	rumor_varannarihunters
VariableGreater#emerald_sold,0	rumor_emeraldsjabal
VariableGreater#web_terror,39	rumor_decurion
VariableGreater#where_put_sword,20	rumor_ng_thieves
VariableGreater#smugglers_night,20	rumor_ng_smugglers
