faction_id	name	desc	name_ES	desc_ES	name_RU	desc_RU	name_PT	desc_PT	name_DE	desc_DE	name_PL	desc_PL	name_CZ	desc_CZ	name_TR	desc_TR	name_IT	desc_IT
varsilia	Varsilia	The Kingdom of Varsilia is ruled by old Imperial noble families and chivalry orders. Capital is New Garand	Varsilia	El Reino de Varsilia es gobernado por la antigua nobleza del Imperio y sus órdenes de caballería. La Capital es New Garand.	Варсилия	Королевство Варсилия управляется старыми имперскими дворянскими родами и рыцарскими орденами. Столица: Нью-Гаранд	Varsília	O Reino de Varsília é governado pelas famílias nobres do antigo Império e pelas ordens de cavalheiros. A Capital é Nova Garand.	Varsilia	Das Königreich von Varsilia wird von alten Adelsfamilien und Ritterorden regiert. Seine Hauptstadt ist New Garand.	Varsilia	Królestwem Varsilii rządzą stare Cesarskie rodziny szlacheckie i zakony rycerskie. Stolicą jest New Garand.	Varsilia	Království Varsilia spravují staré imperiální šlechtické rody a rytířské řády. Hlavní město je New Garand.	Varsilya	Varsilia Krallığı eski İmparatorluğun köklü aileleri ve şövalyelik tarafından yönetiliyor. Merkezi New Garand	Varsilia	Il Regno di Varsilia è governato dalla vecchia nobiltà imperiale e dagli ordini cavallereschi. La capitale è New Garand
mercia	Mercia	The Kingdom of Mercia is a powerful militaristic nation with strong trader guilds, with capital in Freetown	Mercia	El Reino de Mercia es una poderosa nación militarizada, con importante comercio. Su capital es Freetown	Мерсия	Королевство Мерсия - мощная воинственная страна с сильными торговыми гильдиями, со столицей во Фритауне	Mércia	O Reino de Mércia é uma nação militarmente poderosa com guildas de mercadores poderosos, sendo a capital Freetown.	Mercia	Das Königreich von Mercia ist eine mächtige militaristische Nation mit starken Händlergilden. Seine Hauptstadt ist Freetown.	Mercia	Królestwo Mercii zamieszkuje silnie zmilitaryzowany naród z potężnymi gildiami handlowymi. Stolicą jest Freetown.	Mercia	Království Mercia je mocný militantní národ se silnými obchodními cechy. Hlavní město je Freetown.	Mersiya	Mercia Krallığı, Freetown'da başkenti olan güçlü tüccar loncaları olan güçlü bir militarist ülke.	Mercia	Il Regno di Mercia è una potente nazione militarista con forti gilde mercantili. La capitale è Freetown.
ilmara	Ilmara	The Holy Crown of Ilmara is a Kingdom ruled by the clerics of The Three, from the capital Nivarian.	Ilmara	La Corona Sagrada de Ilmara es un reino gobernado por los clerigos de la Fé, desde la capital Nivarian	Илмара	Святая Корона Илмары это королевство,управляемое жрецами Трёх из столицы Нивариан.	Ilmara	A Coroa Sagrada de Ilmara é um Reino governado pelos Clérigos de Os Três, da capital Nivarian.	Ilmara	Die Heilige Krone von Ilmara ist ein Königreich, das von den Klerikern der Drei von der Hauptstadt Nivarian aus regiert wird.	Ilmara	Święta Korona Ilmary jest Królestwem zarządzanym ze stolicy Nivarian przez duchownych Trójcy.	Ilmara	Svatá Koruna Ilmary je království, kde vládnou klerikové sv. Trojice. Hlavního město je Nivarian.	İlmara 	İlmara'nın Kutsal Tacı, başkent Nivarian'dan Üçler rahipleri tarafından yönetilen bir krallıktır.	Ilmara	La Santa Corona di Ilmara è un Regno governato dalla chiesa dei Tre. La capitale è Nivarian.
thuram	Thuram	The Arcane Realm of Thuram is a magocracy ruled by the remains of the Imperial Wizards, from its capital Icemist.	Thuram	El Reino Arcano de Thuram es una magocracia controlada por lo que queda de los Magos Imperiales, desde su capital Icemist.	Турам	Тайный Круг Турама - это магократия, возглавляемая остатками Имперских Волшебников,со столицей Айсмист.	Thuram	O Reino Arcano de Thuram é uma magocracia governada pelo que restou dos Magos Imperiais, de sua capital Icemist.	Thuram	Das geheimnisvolle Reich von Thuram ist eine Magokratie, die von den verbliebenen imperialen Magiern von der Hauptstadt Icemist aus regiert wird.	Thuram	Tajemna kraina Thuram ze stolicą w Icemist, ma rząd ustanowiony przez byłych Magów Cesarstwa.	Thuram	Arkánská říše Thuram je mágokracie řízená posledními imperiálními kouzelníky. Hlavní město je Icemist.	Turam	Thuram'ın Gizemli Diyarları, başkenti Icemist'ten İmparatorluk Sihirbazlarının kalıntıları tarafından yönetilen bir magokrasidir.	Thuram	Il Regno Arcano di Thuram è una magocrazia governata da ciò che resta dei maghi imperiali. La capitale è Icemist.
the_three	The Three	The Church of the Three is strong in Ilmara, and it quickly extends over the other kingdoms. It worships the three god-like beings that Ilmarans found in the Thyr Mountains. Unlike other cults, their clerics have divine powers.	Los Tres	La Iglesia de Los Tres es poderosa en Ilmara, y se extiende rápidamente por los otros reinos. Adora a los tres seres divinos que los Ilmaritas encontraron en los Montes Thyr. Al contrario que otros cultos, sus clérigos tienen poderes sagrados.	Трое	Церков Трёх влиятельна в Илмаре, и она быстро распространяется по другим королевствам. Она поклоняется трем богоподобным существам, которых Илмаранцы обнаружили в горах Зир. В отличие от других культов, у их священнослужителей есть божественные силы.	Os Três	A Igreja de Os Três é influente em Ilmara, e rapidamente se espalha pelos outros reinos. Venera os três seres divinos que os Ilmarianos encontraram nas Montanhas Thyr. Diferente de outros cultos, seus clérigos têm poderes divinos.	Die Drei	Die Kirche der Drei ist stark in Ilmara und breitet sich rasant über die anderen Königreiche aus. Sie verehrt die drei gottgleichen Wesen, die die Ilmarer im Thyr-Gebirge fanden. Im Gegensatz zu anderen Kulten verfügen ihre Kleriker über göttliche Mächte.	Trójca	Kościół Trójcy jest siłą w Ilmarze i szybko rozszerza swoją działalność na inne królestwa. Czczone są trzy boskie istoty znalezione przez Ilmaran w Górach Thyr. Przeciwnie do innych kultów, duchowni Trójcy posiadają nieziemskie moce.	Sv. Trojice	Církev svaté Trojice je silná v Ilmaře, rychle se však šíří napříč ostatními Královstvími. Uctívá tři božské bytosti, jež Ilmařané našli v Thyrských hřebenech. Oproti ostatním kultům jsou jejich klerikové obdařeni nadlidskými schopnostmi.	Üçler 	Üçler Kilisesi Ilmara'da güçlüdür ve hızla diğer krallıklar üzerinde yayılıyor. Ilmaran'ın Thyr Dağlarında bulunan üç tanrı benzeri varlığa ibadet ederler. Diğer kültlerin aksine,rahipleri ilahi güçlere sahiptir.	I Tre	La Chiesa dei Tre è forte a Ilmara e si diffonde rapidamente negli altri regni. Adora tre esseri simili a dei che gli Ilmarani hanno trovato nei Monti Thyr. A differenza degli altri culti, i sacerdoti hanno poteri divini.
town_lannegar	Lannegar	Small village near Sagar Forest	Lannegar	Pequeño pueblo cerca del Bosque de Sagar.	Ланнегар	Небольшая деревня около леса Сагар	Lannegar	Pequena vila próxima à Floresta Sagar.	Lannegar	Ein kleines Dorf in der Nähe des Sagar-Waldes.	Lannegar	Niewielka wioska blisko Lasu Sagar.	Lannegar	Malá vesnice nedaleko Sagarského lesa.	Lannegar	Sagar Ormanı yakınlarındaki küçük köy	Lannegar	Piccolo villaggio vicino alla Foresta di Sagar
town_kingsbridge	Kingsbridge	An growing trading town in the Bluemist River	Kingsbridge	Una próspera ciudad comercial en el Rio Bluemist.	Кингсбридж	Растущий торговый город на реке Блюмист	Kingsbridge	Uma cidade mercante em crescimento no Rio Bluemist.	Kingsbridge	Eine wachsende Handelsstadt am Bluemist-Fluss.	Kingsbridge	Rosnące miasto handlowe przy Rzece Bluemist.	Kingsbridge	Rostoucí obchodní město na řece Bluemist.	Kingsbridge 	Bluemist Nehri'nde büyüyen bir ticaret kenti	Kingsbridge	Una città commerciale in sviluppo sulle rive del Fiume Bluemist.
town_rhoneis	Rhöneis	Small village up the course of the Bluemist River	Rhöneis	Pequeño pueblo en el curso alto del rio Bluemist.	Рёнайс	Деревушка вверх по течению реки Блюмист	Rhöneis	Pequena vila situada no curso acima do Rio Bluemist.	Rhöneis	Ein kleines Dorf am oberen Lauf des Bluemist-Flusses.	Rhöneis	Mała wioska w górę biegu Rzeki Bluemist.	Rhöneis	Malá vesnice při horním toku řeky Bluemist.	Rhöneis 	Bluemist Nehri boyunca uzanan küçük bir köy	Rhöneis	Un piccolo villaggio lungo il corso del fiume Bluemist.
town_jabal	Jabal	Fortified village near the Jabal Hills	Jabal	Pueblo fortificado cerca de las Colinas Jabal.	Джабал	Укрепленное поселение вблизи холмов Джабала	Jabal	Uma vila fortificada próxima às Colinas Jabal.	Jabal	Ein befestigtes Dorf in der Nähe der Jabal-Hügel.	Jabal	Ufortyfikowana wioska blisko Wzgórz Jabal.	Jabal	Opevněná vesnice nedaleko pohoří Jabal.	Jabal	Jabal Tepeleri yakınlarındaki güçlendirilmiş köy	Jabal	Un villaggio fortificato vicino alle colline Jabal
town_sydarun	Sydarun	A village located south of the deadly Deadwood and on the edge of the inhospitable Inori Desert	Sydarun	pueblo ubicado al sur del temible Deadwood y en el borde del inhóspito desierto Inori.	Сидарун	Поселение к югу от смертоносного Мертволесья и на краю неприветливой пустыни Инори	Sydarun	Uma vila localizada ao sul da mortal Deadwood e na extremidade do inóspito Deserto Inori.	Sydarun	Ein südlich des gefährlichen Totenwaldes gelegenes Dorf, am Rande der unwirtlichen Inori-Wüste.	Sydarun	Wioska leżąca na południe od groźnego Martwego Lasu i na skraju nieprzyjaznej Pustyni Inori.	Sydarun	Vesnice umístěná jižně od smrtícího lesa Deadwood, při okraji nehostinné Inorské pouště.	Sydarun	Ölümcül Ölükoru'nun güneyindeki ve engebeli Inori Çölünün kenarında bulunan bir köy	Sydarun	Un villaggio situato a sud del mortale Deadwood e ai bordi dell'inospitale deserto di Inori
town_new_anthur	New Anthur	The most ancient imperial settlement on Varannar, now a coastal town of Varsilia	New Anthur	El puerto imperial más antiguo de Varannar, ahora una ciudad costera de Varsilia.	Нью-Антур	Самое древнее имперское поселение на Вараннаре, теперь прибрежный город Варсилии.	Nova Anthur	O mais antigo assentamento imperial em Varannar, atualmente uma cidade costeira de Varsília.	New Anthur	Die älteste imperiale Siedlung auf Varannar, nun eine Küstenstadt von Varsilia.	New Anthur	Najbardziej starożytna, cesarska osada w Varannarze, teraz miasteczko na wybrzeżu Varsilii.	New Anthur	Nejstarší osada na Varannaru, teď město na pobřeží Varsilie.	New Anthur	Varannar'ın en eski imparatorluk yerleşimi, şimdilerde bir Varsilia kıyı kenti	New Anthur	Il più antico insdiamento imperiale su Varannar, oggi città costiera della Varsilia
town_fogas	Fögas	A small and remote Ilmaran village, near the Elder Forest	Fögas	Un pueblo de Ilmara pequeño y remoto, cerca del Bosque Anciano	Фйогас	Небольшая отдаленная деревня Илмары около Древнего Леса	Fögas	Uma pequena e remota vila Ilmariana, próxima à Floresta Elder.	Fögas	Ein kleines und abgelegenes ilmarisches Dorf nahe des Alten Waldes.	Fögas	Mała, odległa, ilmariańska wioska, nieopodal Lasu Starszyzny.	Fögas	Malá a odlehlá Ilmarská vesnice, nedaleko Starého lesa	Fögas	Yaşlı Orman'nın yakınlarındaki küçük ve uzak bir Ilmaran köyü	Fögas	Un piccolo e remoto villaggio Ilmarano, vicino alla Foresta Antica
