progress	description	description_ES	actions
0	Illegal arena	La arena ilegal	
10	My first fight in the arena is waiting for me. I have to get my gear and start the fight.		
11	All the wolves have been killed. Now rest and we can find out about the next fight.		
12	The second fight is with the tigers. Not bad.		
13	The Tigers are down. Third battle ahead.		
14	Third fight. Bears.		
15	That was unpleasant. I'm looking forward to the fourth fight.		
16	The fourth battle. Troll and Shamans... It's gonna be tough.		
17	The trolls are dead. And I got an interesting dirk as a bonus.		
18	Fifth battle...Minotaur group. Not much left...		
19	Hmmm, I thought it would be harder. Now it's on to the final battle!		
20	A glacial giant...You're gonna have to sweat it out.		
21	Ha! The giant is dead, and I can now participate in "Free Fighting". I wish I knew what that was.		
22	My title of "Arena Champion" in Freetown also counts here. I'm eligible to compete in the "Freestyle Fights". I wish I knew what that was.		
100	Now I can come to Friguld's arena anytime I want and fight in "Free Fights" with other adventurers. Interesting.		
