progress	description	description_ES	actions
0	Dangerous liaisons			
10	The beautiful Alchemist Margaery invited me to her home.			
11				
12	You agreed to have wine with Margaery.			
13	You pretended to drink the wine and discreetly poured it on the floor.			
14	Третья шкура повешена, осталось две.			
15	Четвертая шкура повешена, осталась одна.			
60	Все шкуры развешены, пора идти за наградой.			
100	Все волчьи шкуры развешаны, награда получена.			
110	Эта странная девка Маргери пьяна. И от неё воняет химикатами. Не хочу иметь с ней дел.			
