progress	description	description_ES	actions
0	The Shards of Fate	Los Fragmentos del Destino	
10	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. It is a mirror that can reveal any knowledge, so I need it to find the hideout of [BLUE]The Forsaken[] before they open the [BLUE]Deep Gate[] and destroy our world. Once I have a shard, I must place it in the frame of the upper floor of Tremadan's Tower.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Es un espejo capaz de revelar cualquier secreto, así que podré usarlo para encontrar el escondite de [BLUE]Los Olvidados[] antes de que abran la [BLUE]Puerta Profunda[] y destruyan nuestro mundo. cuando consiga un fragmento, debo llevarlo al piso superior de la Torre de Tremadan.	
11	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put one shard in the mirror frame, eleven more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado un fragmento en el marco, me faltan once.	
12	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put two shards in the mirror frame, ten more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado dos fragmentos en el marco, me faltan diez.	
13	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put three shards in the mirror frame, nine more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado tres fragmentos en el marco, me faltan nueve	
14	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put four shards in the mirror frame, eight more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado cuatro fragmentos en el marco, me faltan ocho.	
15	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put five shards in the mirror frame, seven more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado cinco fragmentos en el marco, me faltan siete.	
16	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put six shards in the mirror frame, six more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado seis fragmentos en el marco, me faltan seis.	
17	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put seven shards in the mirror frame, five more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado siete fragmentos en el marco, me faltan cinco.	
18	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put eight shards in the mirror frame, four more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado ocho fragmentos en el marco, me faltan cuatro.	
19	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put nine shards in the mirror frame, three more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado nueve fragmentos en el marco, me faltan tres.	
20	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put ten shards in the mirror frame, two more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado diez fragmentos en el marco, me faltan dos.	
21	I am trying to reconstruct an ancient artifact known as the [BLUE]Eye of Tol[]. I already put eleven shards in the mirror frame, one more to go.	Estoy intentando reconstruir un artefacto llamado el [BLUE]Ojo de Tol[]. Ya he colocado once fragmentos en el marco, me falta uno.	
22	I reconstructed the [BLUE]Eye of Tol[]. Now I can talk to the illusion left by my grandfather, so we can try to find the Forsaken.	He reconstruido el [BLUE]Ojo de Tol[]. Ahora debería hablar con la imagen fantasmal de mi abuelo para encontrar a los Olvidados.	
100	I learned the location of the Forsaken. It is an ancient wrecked vessel from the Muud'ari, called the Ark of Lothasan.	Descubrí el escondite de los Olvidados. Se encuentran en un antiguo navío de los Muud'ari llamado el Arca de Lothasan.	
