spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	rarity	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
bandit_male_bow									co	bandits			7			
bandit_male									co	bandits						
bandit_ranged									un	bandits						
bandit_female_elite									ra	bandits						
bandit_male_elite									ra	bandits						
bandit_male_bow									co	bandits			8			
bandit_male									co	bandits						
bandit_mage									ra	bandits			9			
bandit_mage_fire									ra	bandits			9			
bandit_mage_light									ra	bandits			9			
bandit_ranged									co	bandits						
bandit_female_elite									un	bandits						
bandit_male_elite									un	bandits						
