spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	rarity	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
villager_female_white	TOWNSMAN								1	#civilian#						
villager_male_red	TOWNSMAN								21	#civilian#						
villager_male_blue	TOWNSMAN								41	#civilian#						
adventurer_1					adventurer				61	mercia						
adventurer_2					adventurer				74	mercia						
adventurer_3					mercenary				87	mercia						
adventurer_4					mercenary				94	mercia						
adventurer_5					adventurer				61	mercia		8				
adventurer_6					adventurer				74	mercia		8				
adventurer_7					mercenary				56	mercia		12				
adventurer_7					adventurer				35	mercia		12				
adventurer_8					mercenary				57	mercia		12				
