spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	chancemax	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions	secondarySpawns
villager_female_blue									co	#civilian#							
villager_male_red									co	#civilian#							
adventurer_1					adventurer				co	mercia		1					
adventurer_2					adventurer				co	mercia		1					
adventurer_3					mercenary				co	mercia		1					
adventurer_4					mercenary				co	mercia		1					
adventurer_5					mercenary				co	mercia		1	8				
adventurer_6					mercenary				co	mercia		1	8				
adventurer_5					adventurer				co	mercia		1	8				
adventurer_6					adventurer				co	mercia		1	8				
adventurer_7					mercenary				co	mercia		1	12				
adventurer_7					adventurer				co	mercia		1	12				
adventurer_8					mercenary				co	mercia		1	12				
