progress	description	description_ES	actions
0	Пляски Пламени	po	
10	В подземелье рядом Фрипортом я обнаружил на теле мага магический кристалл, необходимо найти того, кто знает, что это за кристалл.	po.	
20	Волшебник Изабот предположил, что кристалл как-то связан с красным призраком, который стал появляться по ночам в окрестностях Фрипорта, необходимо его найти.	po.	
30	У красного призрака я узнал про огненный жертвенник у подножья Замора, я должен найти его, чтоб узнать побольше о магической кристалле.	po.	
40	Демон из огненного жертвенника согласился научить меня пользоваться кристаллом, но я должен пройти его проверку на прочность!	po.	
45	Я прошёл проверку демона на прочность, теперь нужно снова с ним поговорить.	po.	
50	Я должен найти 9 огненных сердцевин лавовиков, чтоб зарядить кристалл.	po.	
51	Я нашёл одну огненную сердцевину, осталось ещё 8.	po.	
52	Я нашёл две огненных сердцевин, осталось ещё 7.	po.	
53	Я нашёл три огненных сердцевин, осталось ещё 6.	po.	
54	Я нашёл 4 огненных сердцевин, осталось ещё 5.	po.	
55	Я нашёл 5 огненных сердцевин, осталось ещё 4.	po.	
56	Я нашёл 6 огненных сердцевин, осталось ещё 3.	po.	
57	Я нашёл 7 огненных сердцевин, осталось ещё две.	po.	
58	Я нашёл 8 огненных сердцевин, осталась ещё одна.	po.	
59	Я нашёл 9 огненных сердцевин, теперь нужно вернуться к демону, чтобы зарядить кристалл.	po.	
60	Я столкнулся с создателем лавовиком и он был недоволен моими действиями, теперь нужно вернуться к демону, чтобы зарядить кристалл.	po.	
65	Я столкнулся с создателем лавовиком и договорился с ним убить демона.	po.	
70	Демон и дракон сцепились друг с другом в бою, я должен помочь убить демона.	po.	
100	Демон Фёмипет дал мне заряженный магический кристалл.	po.	
110	Я помог дракону убить демона Фёмипета, энергии высвобожденная из него зарядила магический кристалл.	po.	
