progress	description	description_ES	actions
0	Зелёный король.	po	
10	Я встретил неизвестного рыцаря, сражающегося с толпой гоблинов, я отказался ему помогать.	po.	
15	Я встретил неизвестного рыцаря, сражающегося с толпой гоблинов, я решил помочь ему.	po.	
20	Я помог неизвестному рыцарю победить гоблинов, теперь нужно с ним поговорить.	po.	
25	Я познакомился с волшебным рыцарем в изгнании по имени Дункан, он хотел предложить мне какую-то работу, но я отказался.	po.	
30	Я познакомился с волшебным рыцарем в изгнании по имени Дункан, он попосил меня убить короля гоблинов, я смогу найти его в пещерах у подножья гор Виверн на северо-западе леса Сагар.	po.	
35	Я убил короля гоблинов, необходимо забрать какое-нибудь доказательство его смерти.	po.	
40	Я забрал голову короля гоблинов, теперь необходимо вернуться к волшебному рыцарю Дункану.	po.	
50	На меня и Дункана напала банда гоблинов во главе шамана, я должен одолеть их.	po.	
60	Я разобрался с шаманом гоблинов, теперь необходимо поговорить с волшебным рыцарем Дунканом.	po.	
100	Я помог волшебному рыцарю Дункану разобраться с гоблинской опасностью.	po.	
