progress	description	description_ES	actions
0	Праздник к нам приходит	po	
10	На площаде Уайттауэра я встретил маленького мальчика, он отказался говорить о себе, пока я не принесу ему что-нибудь вкусное, или стоит распросить о нём жителей.	po.	
15	Маленький мальчик по имени Кай попросил помочь ему устроить праздник, я отказался.	po.	
20	Маленький мальчик по имени Кай попросил помочь ему устроить праздник, я согласился. Необходимо поговорить с ремесленница Жанной.	po.	
25	Мне необходимо найти подходящую ель для праздника в лесу рядом с Уайттауэром, возможно, лесорубы ушедшие на северо-запад помогут мне с этим.	po.	
27	Мне необходимо найти подходящую ель для праздника в лесу рядом с Уайттауэром, возможно, лесорубы ушедшие на северо-запад помогут мне с этим.	po.	
30	На меня напало неизвестное существо, я должен с ним разобраться.	po.	
32	Я добыл ель для праздника, теперь нужно вернуться обратно в Уайттауэр к ремесленнице Жанне.	po.	
35	Мне необходимо поговорить с пивоваром Тонелом о его участии в празднике.	po.	
37	Я должен помочь пивовару Тонелу разобраться с его проблемой.	po.	
40	Я помог пивовару Тонелу разобраться с его проблемой, теперь он может помочь устроить праздник.	po.	
42	Тонел согласился помочь с праздником, но его запасы спиртного украли великаны, необходимо найти их. Разграбленный тайник находится на юго-западе в горах Выверн, с него нужно начать поиски.	po.	
45	Я нашёл великанов, необходимо забрать у них украденное спиртное.	po.	
47	Я забрал украденное спиртное, теперь нужно вернуться к Тонелу.	po.	
50	Неизвестное существо украло праздничную ель и подарки, возможно, волнебница живущая на северо-востоке в горах Выверн поможет отыскать похитителя.	po.	
52	Волшебница Джинерва согласилась помочь мне, если я принесу сердце Оберона, который находится где-то в горах Выверн.	po.	
55	Я добыл сердце Оберона, теперь нужно вернуться к волшебница Джинерве.	po.	
57	Волшебница Джинерва дала мне артефакт, с помощью которого я смогу попасть в логово похитетеля, я должен вернуться в Уайттауэр, чтобы узнать где именно видели его.	po.	
60	Я смог попасть в логово похитителя, теперь нужно найти его.	po.	
62	Я должен разобраться с зелёным существом.	po.	
65	Я победил похитителя, теперь необходимо вернуть украденное в Уайттауэр.	po.	
66	Я победил похитителя, теперь необходимо вернуть украденное в Уайттауэр.	po.	
67	Какие-то ледяные женщины напали на Уайттауэр, я должен с ними разобраться.	po.	
68	Я победил одну из ледяных женщин.	po.	
69	Я победил двух ледяных женщин.	po.	
70	Я победил трёх из ледяных женщин.	po.	
71	Я победил ледяных женщин, теперь можно продолжить помогать Каю устраивать праздник.	po.	
72	Я победил ледяных женщин, теперь можно продолжить помогать Каю устраивать праздник.	po.	
73	Я попал в какое-то неизвестное место, надо найти отсюда выход.	po.	
75	Я должен разобраться с рогатым существом.	po.	
77	Мне необходимо найти выход из странного места, в которое я попал.	po.	
80	Я должен помочь Каю закончить с подготовкой праздника.	po.	
100	Я помог Каю устроить праздник.	po.	
