progress	description	description_ES	actions
0	Погруженный во Тьму	po	
10	Маг Елизар рассказал мне о Храме знаний, где я смогу найти магический артефакт, я должен узнать о его местоположении у магистра Мундрика в Уайттауэре.	po.	
12	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 5 мерплов.	po.	
14	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 6 белых волчьих шкур.	po.	
16	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему шкуру пятнистого медведя из Фьорда Айсмиста.	po.	
17	Я получил шкуру пятнистого медведя, необходимо отдать её магистру Мундрику.	po.	
18	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему хвост виверны.	po.	
19	Я получил хвост виверны, необходимо отдать его магистру Мундрику.	po.	
20	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему лапу ейти.	po.	
21	Я получил лапу ейти, необходимо отдать её магистру Мундрику.	po.	
22	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему гиганскую медовуху.	po.	
24	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 4 лисих хвостов.	po.	
26	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 6 голубых водорослей.	po.	
28	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему две шкуры бурых медведей.	po.	
30	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему два золотых яблока.	po.	
32	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему оленьи рога.	po.	
34	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 5 мертвьюнков.	po.	
36	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 5 чешуй красных драконидов.	po.	
38	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 3 огненных солей, 3 живого льда и 3 искрящаюся пыли.	po.	
40	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 3 глаза саблезуба.	po.	
42	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему рог минотавра.	po.	
44	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 3 хитиновых панциря.	po.	
46	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему две шкуры снежных барсов.	po.	
48	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 3 клыка мамбы и 3 клыка коралловой змеи.	po.	
50	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему жало мантикоры.	po.	
51	Я получил жало мантикоры, необходимо отдать его магистру Мундрику.	po.	
52	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему мясо обезьяны.	po.	
53	Я получил мясо обезьяны, необходимо отдать его магистру Мундрику.	po.	
54	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 3 шкуры троллей.	po.	
56	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему амулет друида, находящегося у гор Замор.	po.	
57	Я получил амулет друида, необходимо отдать его магистру Мундрику.	po.	
58	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему голову урсана.	po.	
59	Я получил голову урсана, необходимо отдать её магистру Мундрику.	po.	
60	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему чепеп варга.	po.	
62	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему тотем вараннари.	po.	
64	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему сердце дракона.	po.	
65	Я получил сердце дракона, необходимо отдать его магистру Мундрику.	po.	
66	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему фиолетовый медальон.	po.	
68	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я верну его сферу, которая находится где-то в канализации Айсмиста.	po.	
69	Я нашёл сферу магистра Мундрика, необходимо отдать её ему.	po.	
70	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему 5 древних батарей.	po.	
72	Магистр Мундрик согласился отдать мне камень-ключ из Храма знаний, если я принесу ему большую батарею.	po.	
80	Магистр Мундрик дал мне камень-ключ, теперь необходимо найти пещеру в Багряных холмах, в которой есть ходы, ведущие к Храму знаний.	po.	
85	Я оказался в тёмных пещерах, необходимо найти дорогу к Храму знаний или выход отсюда.	po.	
86	Я нашёл ещё один камень-ключ в Храме знаний.	po.	
87	Я нашёл второй камень-ключ в Храме знаний.	po.	
88	Я нашёл третий камень-ключ в Храме знаний.	po.	
90	Я смог активировать мост, ведущий в недоступную часть Храма знаний, теперь я должен иследовать её.	po.	
95	Хранитель Храма знаний сообщил, что здесь ничего нет полезного, но, возможно, мне удасться что-нибудь найти.	po.	
100	Я заполучил кольцо из кровавого древа, необходимое чтобы уничтожить печати сдерживания.	po.	
