progress	description	description_ES	actions
0	Потерянный Принц	po	
10	Младший сын королевы Северного королевства - принц Вардий пропал во время охоты несколько недель назад и его не удалось отыскать. Но какой-то лесник видел принца, я могу узнать где искать этого лесника у сержанта Винтеркалм в Долине Сновидений.	po.	
20	Я узнал, что лесника, видевшего принца Вардия, можно найти в деревне у южной стены Ригордиона.	po.	
25	Я узнал, что лесника, видевшего принца Вардия, можно найти в деревне у южной стены Ригордиона, также я уговорил сержанта Винтеркалм помочь мне в поиске.	po.	
30	Лесник сообщил, что он видел принца Вардия в Долине Сновидений на снежном плато, но он не знает, как туда попасть. Возможно это можно узнать у королевских егерей, их лагерь находится в Долине Сновидений.	po.	
35	Лесник сообщил, что он видел принца Вардия в Долине Сновидений на снежном плато, но он не знает, как туда попасть. Возможно это можно узнать у королевских егерей, их лагерь находится в Долине Сновидений.	po.	
40	Старший королевский егерь Хагхендж знает, как можно попасть на снежное плато, но сообщит он это мне, только если я принесу ему 6 мерплов.	po.	
50	Старший королевский егерь Хагхендж сообщил мне, что попасть на снежное плато можно через пещеры, вход в которые находится неподалеку от него.	po.	
55	Старший королевский егерь Хагхендж сообщил мне, что попасть на снежное плато можно через пещеры, вход в которые находится неподалеку от него.	po.	
58	Старший королевский егерь Хагхендж сообщил мне, что попасть на снежное плато можно через пещеры, вход в которые находится неподалеку от него.	po.	
60	На снежном плате я отыскал человечьи останки, которые могут принадлежать принцу Вардия, необходимо доставить их в замок Ригордиона.	po.	
65	На снежном плате я отыскал человечьи останки, которые могут принадлежать принцу Вардия, необходимо доставить их в замок Ригордиона.	po.	
100	Я помог отыскать пропавшего принца Вардия, капитан Винтеркалм наградила меня.	po.	
