progress	description	description_ES	actions
0	Прибыльное Предприятие	po	
10	В Ригордионе я познакомился с Агнием Нортсоном, который предложил стать партнёром в его предприятии, но я отказался.	po.	
20	В Ригордионе я познакомился с Агнием Нортсоном, который предложил стать партнёром в его предприятии, я согласился, для начала нам надо добыть 10 медвежных шкур.	po.	
30	Я должен договориться с кузнецом Хилтом на счёт железа для нашего с Агнием предприятия.	po.	
40	Кузнец Хилт согласился предоставить железо, если я убью нехороших людей, с которыми он связался. Он назначил встречу с ним ночью у южной стены города.	po.	
50	Я убил негодяев шантажировавших кузнеца Хилта, теперь необходимо сообщить ему об этом.	po.	
60	Кузнец Хилт занялся поставкой железа для предприятия, надо сообщить об этом Агнию.	po.	
70	Необходимо добыть ещё 15 медвежных шкур для нашего с Агнием предприятия.	po.	
80	Агний предложил нанять трёх охотников, которые поставляли бы нам шкуры, теперь осталось лишь найти кто бы согласился этим заняться.	po.	
81	Агний предложил нанять трёх охотников, которые поставляли бы нам шкуры, одного я уже нашёл, осталось двое.	po.	
82	Агний предложил нанять трёх охотников, которые поставляли бы нам шкуры, двоих я уже нашёл, остался ещё один.	po.	
83	Агний предложил нанять трёх охотников, которые поставляли бы нам шкуры, я нашёл троих, теперь можно сообщить об этом Агнию.	po.	
100	Наше с Агнием предприятие начало работать, появились первые клиенты! Выручку можно получать каждый день.	po.	
