progress	description	description_ES	actions
0	Самые известные в королевстве	po	
10	Я познакомился с Микаэлой, которая собирает свою музыкальную труппу, я отказался ей помогать.	po.	
15	Я познакомился с Микаэлой, которая собирает свою музыкальную труппу, я согласился ей помогать. Я должен найти и уговорить Элис, находящаяся в убежище, присоединиться к труппе.	po.	
20	Я уговорил Элис присоединиться к музыкальной труппе, теперь нужно вернуться к Микаэле.	po.	
25	Я и Элис должны найти Лайлу в Кингсбридже.	po.	
30	Лайла задолжала местным бандитам, я предложил избавиться от них. Я должен убить их в съёмном доме, в который она заманит их ночью.	po.	
35	Лайла задолжала местным бандитам, я должен договориться с Домом Семи о решении этой проблемы.	po.	
37	Кардагис согласилась решить проблему с долгами Лайлы, если я заплачу 3000 монет.	po.	
40	Кардагис решила проблему с долгами Лайлы, я должен вернуться в Кингсбридж и сообщить ей об этом.	po.	
45	Я и Элис должны найти Виолетту в Нью-Гаранде, в этом нам поможет знакомая Лайлы.	po.	
47	Я должен помочь Виолетте разобраться с непрошенными гостями.	po.	
50	Мне и Элис удалось найти Лайлу и Виолетту, теперь нужно вернуться к Микаэле в убежище госпожи.	po.	
55	Я и Элис должны устанить конкурентов нашей труппы, одни из них находятся на дороге, ведущей в Нью-Антур.	po.	
56	Я разобрался с одним из музыкантов конкурирующей труппы, остался ещё один.	po.	
57	Я разобрался с конкурирующей труппой, теперь я должен встретиться с Виолеттой в Нью-Антуре.	po.	
60	Я, Элис и Виолетта должны устранить вторую конкурирующую труппу, состоящая из сектантов, которые находятся в подвале в Нью-Антуре.	po.	
65	Чтобы наша труппа могла выступать, необходимо получить королевское разрешение, возможно мне это удасться сделать в королевском замке Нью-Гаранда.	po.	
70	Чтобы получить королевское разрешение, я должен устранить какого-то поэта, необходимо встретиться с человеком заказчика ночью в Нью-Гаранде.	po.	
72	Поэта, которого я должен устранить зовут Дастин Белый, я смогу его найти в предместьях Нью-Гаранда ночью.	po.	
75	Я убил поэта Дастина Белого, необходимо сообщить об этом губернатору в королевском замке Нью-Гаранда.	po.	
80	Я получил королевское разрешение на выступления, теперь нужно вернуться к Микаэле в убежище госпожи.	po.	
85	Я должен встретиться с Микаэлой и остальными участниками музыкальной труппы в Ланнегере.	po.	
90	На нашу труппу напала труппа мертвецов! Я должен расправиться с напавшей нежитью.	po.	
100	Я помог Микаэле создать музыкальную труппу, но долго ли эта труппа просуществует?	po.	
130	Квест провален.	po.	
