progress	description	description_ES	actions
0	Священная Миссия	po	
10	В храме Ригордиона собирается команда для истребления демона-медведя, я решил не присоединяться к ним.	po.	
20	В храме Ригордиона собирается команда для истребления демона-медведя, я решил присоединяться к ним, но чтобы доказать, что я достоин этого, я должен добыть трофеи с 10 белых волков и 6 полярных медведей.	po.	
30	Я добыл необходимое число трофеей, но нужно выполнить ещё одно поручении - найти и убить существо терроизирующее селян в Стылом береге.	po.	
40	Я убил существо терроизировавшее селян, нужно сообщить об этом Рюргеру.	po.	
50	Рюргер попросил меня узнать, где может находиться логово демона-медведя у егерей в лагере, расположенным в Долине Сновидений.	po.	
60	Я узнал, что логово демона-медведя может находиться у восточных гор в Долине Сноведений, необходимо передать эту информацию Рюргеру.	po.	
70	Команда собравшаяся унечтожить демона-медведя будет ждать меня в лагере Долины Сновидений, нужно подготовиться перед тем, как к ним присоединиться.	po.	
80	Мне и команде необходимо найти и убить демона-медведя.	po.	
85	Мне и команде удалось найти логово демона-медведя, и теперь нужно его убить.	po.	
90	Демон-медведь мёртв, первосвященник храма Ригордиона готов вознаградить меня за оказаную помощь.	po.	
100	Я помог Рюргеру унечтожить демона-медведя, избавив жителей города от смертельной опасности.	po.	
