progress	description	description_ES	actions
0	Простой Выбор	po	
10	Я встретил послушника Хэнка, рассказавший об пропавшем отряде из Ригордиана, я согласился ему помочь их найти, для начала необходимо изучить заброшенную шахту на севере Угольного карьера.	po.	
20	В заброшенной шахте я наткнулся на умирающего воина-священника, он попросил меня найти его выживших товарищей, я согласился ему помочь.	po.	
30	Я нашёл одного из выживших товарищей воина-священника, я должен помочь ему отбиться от напавшей нежити.	po.	
40	Старший послушник Питер попросил меня помочь добраться до ещё одного товарища воина-священника - жреца Моргена, для этого я должен уничтожить три тотема в шахте, чтоб освободить к нему путь от магического поля.	po.	
41	Я нашёл и уничтожил один из трёх защитных тотемом.	po.	
42	Я нашёл и уничтожил два из трёх защитных тотемом.	po.	
43	Я нашёл и уничтожил все защитные тотемы, теперь необходимо поговорить с Питером, чтоб он убрал ослабленное магическое поле.	po.	
50	Питер убрал магическое поле, теперь необходимо добраться до жреца Моргена.	po.	
60	Я должен одолеть жреца Моргена и ведьму, которой он присягнул на верность.	po.	
70	Мне удалось победить Моргена и ведьму, теперь нужно поговорить с Питером.	po.	
100	Я помог старшему послушнику Питеру победить предателя и злую ведьму.	po.	
110	Я помог старшему послушнику Питеру победить предателя и злую ведьму, первосвященник Гедеон вознаградил меня.	po.	
