progress	description	description_ES	actions
0	Очень странные дела.	po	
10	Волшебник Бальтазар попросил помочь ему в каком-то деле, я отказался.	po.	
15	Я согласился помочь волшебнику Бальтазару, я должен встретиться с ним или его учеником в Кингсбридже.	po.	
20	Я согласился помочь волшебнику Бальтазару, я должен встретиться с ним или его учеником в Кингсбридже.	po.	
25	Необходимо встретиться с Бальтазаром в старой башне, которая находится на юге реки Блюмист.	po.	
30	Я должен помочь Бальтазару разобраться с пришельцем.	po.	
35	Пришелец мёртв, теперь необходимо поговорить с Бальтазаром.	po.	
40	Я должен найти курьера, который должен был доставить Бальтазару какой-то магический артефакт, его следует искать на юге реки Блюмист.	po.	
45	Я нашёл труп курьера, но артефакта с ним не было, возможно, его забрали орки, их лагерь должен находится где-то поблизости на юге реки Блюмист.	po.	
50	Я нашёл магический артефакт, необходимо доставить его Бальтазару в старую башню, которая находится на юге реки Блюмист.	po.	
60	Мне необходимо найти и победить могучих пришельцев, чтобы собрать достаточно субстрата для Бальтазара, я смогу отыскать их в этих местах Хребет Тхир, Северо-запад леса Сагар, север леса Сагар, долина Некар, восточная Инори, Берег Стали, побережье Соллиги.	po.	
70	Я собрал достаточно субстрата, теперь необходимо узнать, что задумал Бальтазар.	po.	
72	Я вмешался в противостояние мага и его ученика, встав на сторону мага.	po.	
75	Я вмешался в противостояние мага и его ученика, встав на сторону ученика мага.	po.	
77	Ученик мага мёртв, теперь необходимо поговорить с Бальтазаром.	po.	
80	Бальтазар мёртв, теперь необходимо поговорить с его учеником.	po.	
82	Я помог Зерефу попасть в башню Бальтазара.	po.	
85	Я должен помочь Зерефу разобраться с Бальтазаром.	po.	
87	Бальтазар и его ученик мертвы, теперь необходимо поговорить с Зерефом.	po.	
90	Я должен разобраться с Зерефом.	po.	
100	Я помог Бальтазару завершить труд всей его жизни.	po.	
110	Я помешал Бальтазару активировать его устройство, которое могло погубить множество жизней.	po.	
120	Я помог Зерефу получить устройство Бальтазара.	po.	
130	Я убил отреченного Зерефа, чтобы устройство Бальтазара никому не досталось.	po.	
