Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	bonus	bonus_condition	Skill name ES	description ES
Extra Recovery	P	N	G	N	You gain extra uses of the recovery button per day.						Recuperación Extra	Puedes usar el botón de Recuperación más veces al día.
					+1 recovery/day	3						+1 uso adicional de Recuperación al día
					+2 recovery/day	3						+2 uso adicional de Recuperación al día
Dungeoneering	P	Y	G	N	You are an expert in dungeon exploration. You can easily find hidden traps or secret doors.						Conocimiento de Mazmorras	Eres un experto en exploración de mazmorras, y puedes encontrar más facilmente las trampas y puertas secretas.
					Gain a +10% bonus to find traps and secret doors	1						Bonus de +10% a encontrar trampas y puertas secretas.
					Gain a +18% bonus to find traps and secret doors	1						Bonus de +18% a encontrar trampas y puertas secretas.
					Gain a +25% bonus to find traps and secret doors	1						Bonus de +25% a encontrar trampas y puertas secretas.
Gossip	P	Y	G	N	You know how to be friendly enough to listen to the local news and legends.						Conocimiento de Mazmorras	Sabes como ser amistoso si hace falta, para enterarte de rumores y leyendas locales.
					Gain a +5% bonus to learn rumors, 3% discount in shops	1						Bonus de +5% a descubrir rumores, 3% de descuento en tiendas
					Gain a +10% bonus to learn rumors, 6% discount in shops	1						Bonus de +10% a descubrir rumores, 6% de descuento en tiendas
					Gain a +15% bonus to learn rumors, 9% discount in shops	1						Bonus de +15% a descubrir rumores, 9% de descuento en tiendas
Whirlwind	A	Y	W	Y	Hit all enemies around you with a spinning slash. Pushes back and deals extra damage, maybe stunning them.						Remolino	Golpea a todos los enemigos a tu alrededor, empujándoles, causando daño extra y quizá aturdiéndoles
					Whirlwind does 50% extra damage	1	12					Remolino hace +50% de daño
					Whirlwind deals 75% extra damage, 3% stun chance	2	11					Remolino hace +75% de daño, probabilidad aturdir 3%
					Whirlwind deals 100% extra damage, 5% stun chance	3	10					Remolino hace +100% de daño, probabilidad aturdir 5%
					Whirlwind deals 120% extra damage, 7% stun chance	3	9					Remolino hace +120% de daño, probabilidad aturdir 7%
Resilience	A	Y	W	N	For a limited time, you focus in defense, and obtain an armor bonus. You may survive dangers that would normally kill you.						Defensa	Durante un tiempo breve, te concentras en defenderte, y recibes una bonificación a tu Armadura. Puedes sobrevivir a peligros que normalmente te matarían.
					Gain +5 armor for 6 seconds	1	35					 +5 Armadura durante 6 segundos
					Gain +9 armor for 8 seconds	2	35					 +9 Armadura durante 8 segundos
					Gain +14 armor for 10 seconds	3	35					 +14 Armadura durante 12 segundos
Charge	A	N	W	Y	Your battle rage drives you through lines of enemies, cutting through them and dealing extra damage.						Cargar	Tu furia de batalla te hace atravesar lineas enemigas, hiriendo a tus enemigos y haciendo daño adicional.
					Charge does +60% damage.	1	12					Al cargar, +60% de daño.
					Charge does +90% damage.	1	11					Al cargar, +90% de daño. 
					Charge does +125% damage.	2	10					Al cargar, +125% de daño. 
					Charge does +160% damage. 	3	9					Al cargar, +160% de daño.
Fury	P	Y	W	N	When you are injured, your rage increases your damage output making you more dangerous than ever.						Furia	Cuando estás herido, tu rabia incrementa el daño que causas cuerpo a cuerpo, haciéndote más peligroso que nunca
					When you have less than 30% HP, deal +30% damage	1						Si tienes menos del 30% de tus HP, +30% al daño
					When you have less than 35% HP, deal +50% damage	2						Si tienes menos del 35% de tus HP, +50% al daño
					When you have less than 35% HP, deal +65% damage	2						Si tienes menos del 35% de tus HP, +65% al daño
Two Handed Expert	P	Y	W	N	You are especially proficient with two-handed weapons.						Experto en Armas a 2 manos	Eres especialmente hábil con armas de dos manos
					When wielding a 2-handed weapon, 5% stun chance	1						Al manejar un arma de 2 manos, probabilidad de 5% de aturdir.
					With 2-handed weapons, add your STR x2 to damage (instead of x1.5) and 5% stun chance	2						Con armas de 2 manos, suma tu FUE x2 al daño (en lugar de x1.5), y 5% de aturdir.
					With 2-handed weapons, add your STR x2.5 to damage (instead of x1.5), and 10% stun chance	3						Con armas de 2 manos, suma tu FUE x2.5 al daño (en lugar de x1.5), y 10% de aturdir.
Shield Expert	P	Y	W	N	You are very experienced at fighting using a shield, in particular to cover from ranged attacks (including magical).						Experto en Armas y escudo	Eres especialmente hábil al luchar con escudo, en particular para protegerte de ataques a distancia (incluso mágicos).
					When wielding a shield, +1 armor, an extra +2 vs projectiles.	1						Con un escudo ganas +1 armadura, +2 extra contra proyectiles.
					When wielding a shield, +2 armor, an extra +3 vs projectiles.	1						Con un escudo ganas +2 armadura, +3 extra contra proyectiles.
					When wielding a shield, +3 armor, an extra +4 vs projectiles.	1						Con un escudo ganas +3 armadura, +4 extra contra proyectiles.
Bash	A	Y	W	N	Slam into an enemy, to push him back and maybe stun him. Does some damage, and it's a good way to split enemies or escape them.						Empujar	Empuja con fuerza a un enemigo, empujándole lejos, y aturdiéndole. Causa algo de daño, y es una buena forma de separar enemigos.
					Enemy pushed back 2 meters and stunned 1 second (+1 second if you use a shield)	1	16					Enemigo empujado 2 metros y aturdido 1 segundos (+1 segundo si llevas escudo)
					Enemy pushed back 3 meters and stunned 2 second (+1 second if you use a shield)	1	14					Enemigo empujado 3 metros y aturdido 2 segundos (+1 segundo si llevas escudo)
					Enemy pushed back 4 meters and stunned 3 seconds (+1 second if you use a shield)	2	12					Enemigo empujado 4 metros y aturdido 3 segundos (+1 segundo si llevas escudo)
Cleave	P	Y	W	N	Your attacks are a deadly flurry of slashes. If your attack can hit more than one enemy in front of you, you will hit them all, not just the closest.						Clava	Tus ataques son un torbellino letal. Si tu ataque puede golpear a varios enemigos lo hará, y no solamente al mas cercano.
					You hit one enemy normally, and one extra enemy for 50% damage	1						Dañas a un enemigo normalmente, y a uno extra, a mitad del daño.
					You hit one enemy normally, and two extra enemies for 60% damage	2						Dañas a un enemigo normalmente, y a dos extra al 60% del daño.
					You hit one enemy normally, and three extra enemies for 75% damage	3						Dañas a un enemigo normalmente, y a tres extra al 75% del daño.
Stab	A	Y	R	Y	You prepare a single, deadly attack. After using this skill, you have a few seconds to launch a blow with extra damage.						Apuñalar	Preparas un único ataque mortífero. Tras activar esta habilidad, tienes unos segundos para lanzar un ataque con daño extra.
					your next attack deals extra damage: 6+level	1	14					Tu próximo ataque hace daño extra: 6+nivel
					your next attack deals extra damage: 10+level	2	12					Tu próximo ataque hace daño extra: 10+nivel
					your next attack deals extra damage: 10+ (level x 1.5)	3	10					Tu próximo ataque hace daño extra: 12 + (nivel x 1.5)
					your next attack deals extra damage: 10+ (level x 2)	3	9					Tu próximo ataque hace daño extra: 14 + (nivel x 2)
Stealth	A	N	R	N	The ability to move without being heard or seen, avoiding enemies or surprising them in combat. If you get close to enemies, they have a chance of spotting you. 						Sigilo	La habilidad de moverse sin ser visto ni oido, esquivando enemigos o sorprendiéndoles. Los enemigos pueden descubrirte si te acercas a ellos.
					You can use stealth mode. Your stealth lasts 8 seconds.	1	25					Puedes usar el modo sigilo, dura 8 segundos
					Stealth lasts for 10 seconds and you chance of enemies hearing you is lower.	2	25					Tu sigilo dura 10 segundos y es menos probable que te detecten.
					Stealth lasts 12 seconds, and you have a 50% chance to open doors and chests without being noticed	3	25					Tu sigilo dura 12 segundos, y tienes un 50% de posibilidades de abrir puertas o cofres sin ser detectado
Sneak Attack	P	Y	R	N	When you flank an enemy in melee (attacking by surprise or behind), you will do extra damage, and sometimes stun.						Ataque por sorpresa	Si atacas por el flanco en cuerpo a cuerpo (por detrás o por sorpresa), realizas daño extra, y probabilidad de aturdir.
					When flanking an enemy, deal +50% damage	1						Al atacar por el flanco, +50% al daño
					When flanking an enemy, deal +70% damage and stun for 1 second(15% chance)	2						Al atacar por el flanco, +70% al daño, y 15% de probabilidad de aturdir
					When flanking an enemy, deal +100% damage and stun for 1 second(25% chance)	3						Al atacar por el flanco, +100% al daño, y 25% de probabilidad de aturdir
Kick	A	Y	R	N	Hit an enemy's leg to push him back and make his movement slower. Does some damage, and it's a good way to split groups of enemies or escape certain death.						Patada	Golpea la pierna de un enemigo para hacer su movimiento más lento. Causa algo de daño, y es una buena forma de separar grupos de enemigos.
					Enemy pushed back 2 meters and slowed 3 seconds	1	9					Enemigo empujado 2 metros y ralentizado 3 segundos
					Enemy pushed back 3 meters away and slowed 4 seconds	1	8					Enemigo empujado 3 metros y ralentizado 4 segundos
					Enemy pushed back 4 meters away and slowed for 5 seconds	2	7					Enemigo empujado 4 metros y ralentizado 5 segundos
Evasion	A	N	R	N	You focus on defense, dodging incoming attacks for a few seconds.						Evasión	Puedes concentrarte en defenderte, esquivando ataques durante unos segundos.
					50% chance to dodge any attacks during 5 seconds.	1	30					50% de probabilidad de esquivar ataques durante 5 segundos.
					70% chance to dodge any attacks during 5 seconds.	2	25					70% de probabilidad de esquivar ataques durante 5 segundos.
					90% chance to dodge any attacks during 5 seconds.	3	20					90% de probabilidad de esquivar ataques durante 5 segundos.
Trap Master	A	Y	R	N	You are an expert at deactivating traps, or even setting them.						Experto en Trampas	Eres un experto en desactivar trampas, o incluso colocarlas.
					Set trap (15 seconds duration, level 1-3). +10% bonus to disarm traps and locks.	1	15					Colocar cepo (duración 15 segundos, nivel 1-3). +10% a desarmar trampas y cerraduras.
					Set trap (20 seconds duration, level 4-6). +20% bonus to disarm traps and locks.	2	15					Colocar cepo (duración 20 segundos, nivel 4-6). +20% a desarmar trampas y cerraduras.
					Set trap (30 seconds duration, level 6-10). +30% bonus to disarm traps and locks.	3	15					Colocar cepo (duración 30 segundos, nivel 6-10). +30% a desarmar trampas y cerraduras.
Archery	P	Y	R	N	You are an expert in the use of projectile weapons, and deal extra damage and a chance to stun enemies.						Puntería	Eres un experto utilizando armas de proyectil. Haces daño extra y puedes aturdir.
					Gain +1 arrow damage, and an extra +1 for each 5 levels. 3% stun chance.	1						Suma +1 al daño por flechas,+1 adicional por cada 5 niveles. 3% prob. de aturdir.
					Gain +2 arrow damage, and an extra +1 for each 4 levels. 5% stun chance.	2						Suma +2 al daño por flechas,+1 adicional por cada 4 niveles. 5% prob. de aturdir.
					Gain +3 arrow damage, and an extra +1 for each 3 levels. 7% stun chance.	3						Suma +3 al daño por flechas,+1 adicional por cada 3 niveles. 7% prob. de aturdir.
Sprint	A	N	R	N	An adrenaline rush will allow you to move extremely fast for a few seconds. It doesn't affect combat, just movement.						Sprint	Una subida de adrenalina te permite correr rápidamente durante unos segundos. No afecta al combate, sólo al movimiento.
					You can sprint for 4 seconds.	1	30					Haces sprint durante 4 segundos
					You can sprint for 5 seconds.	1	25					Haces sprint durante 5 segundos
					You can sprint for 6 seconds.	1	20					Haces sprint durante 6 segundos
Vanish	A	N	X	N	[RED](Not implemented yet!)[] You can step into shadows magically, and appear somewhere else.						Desvanecerse	Puedes hundirte en las sombras mágicamente, y reaparecer en otro lugar.
					To be implemented	99	14					pendiente de implementar
					To be implemented	99	12					pendiente de implementar
					To be implemented	99	10					pendiente de implementar
Heal Wounds	A	Y	C	N	"Heals instantly a certain amount of life, even during combat. It heals you first until you are fully healed; any remaining healing goes to other party members."						Curación	Cura instantáneamente una cierta cantidad de vida, incluso en combate. Primero te cura a tí, y si hay curación sobrante pasa a tus aliados.
					Heals a total of 30 HP	1	10	6				Cura un total de 30 HP
					Heals a total of 75 HP	2	8	12				Cura un total de 75 HP
					Heals a total of 125 HP	3	5	18				Cura un total de 125 HP
