Weapon_ID	name	min_damage	max_damage	crit_chance	crit	Speed	reach	2-handed	ranged	light	range_speed	ranged_type	sprite	damage_type	secondary damage	secondary type	proc_type	proc_chance	proc_level	slash_sprite
wand_1	Apprentice Wand	2	5	6	200	11	7		1			w	b_magic							
wand_2	Journeyman Wand	3	6	6	200	11	7		1			w	b_magic							
wand_3	Conjurer Wand	4	8	6	200	11	7		1			w	b_magic							
wand_4	Invisible Fist	5	9	6	200	11	7		1			w	b_magic							
wand_arcanist	Arcanist Wand	7	12	6	200	11	7		1			w	b_magic							
wand_power	Wand of Power A5	9	17	8	200	11	7		1			w	b_magic				stun	5	2	
wand_ice_2	Icy Wand	2	6	6	200	11	7		1			w	w_magic		2	c				
wand_ice_2b	Frog Wand	3	7	6	200	11	7		1			w	w_magic		3	c				
wand_ice_5	Crystallized Wand	6	11	6	200	11	7		1			w	w_magic	c						
wand_shock_3	Wand of Storms	3	6	6	200	11	7		1			w	b_magic		4	s	stun	10	1	
wand_toxic_3	Acidspitter A1	3	6	6	200	11	7		1			w	acid1		4	t	stun	10	1	
wand_death_2	Tolassian Wand	3	6	6	200	11	7		1			w	black_magic		3	d				
wand_death_4	Underworld Wand A4	5	12	7	200	11	7		1			w	death1		6	d				
wand_fire_1	Wand of Scorching A1	4	6	6	200	11	7		1			w	fire1	f						
wand_fire_3	Imperial Battlemage W. A1	5	8	6	200	11	7		1			w	fire1	f						
wand_spirit_3	Golden Branch	3	7	6	200	11	7		1			w	b_magic		4	p				
wand_spirit_4	Golden Wand A2	4	9	6	200	11	7		1			w	b_magic		5	p				
wand_fire_4	Rod of Incineration A2	6	11	6	200	11	7		1			w	fire1	f						
wand_tesla	Tesla Emitter A2	7	12	7	200	11	7		1			w	ion_single	s			emp	20	2	
staff_fire_1	Staff of Scorching	5	9	5	200	9	7	1	1			s	fire1	f						
staff_fire_4	Magma Greatstaff A3	8	15	6	200	9	7	1	1			s	fire1	f						
staff_ice_4	First Winter A4	9	17	6	200	9	7	1	1			s	ice1	c						
staff_ice_2	Staff of the Seas	6	9	5	200	9	7	1	1			s	ice1	c			stun	5	2	
staff_1	Staff of Force	5	8	5	200	9	7	1	1			s	b_magic							
staff_2	GreatStaff of Energy	6	10	5	200	9	7	1	1			s	b_magic							
staff_3	Staff of Mighty Missiles	7	12	5	200	9	7	1	1			s	b_magic							
staff_arcanist	Arcanist Staff A3	9	15	6	200	9	7	1	1			s	b_magic							
staff_impact	Arcanist Staff A5	11	19	6	200	9	7	1	1			s	b_magic				stun	5	2	
