tag	english	spanish	RU	PT	DE	PL	CZ	TR	IT	FR
SULI	Suli	Suli	Зули	Suli	Suli	Suli	Suli	Suli	Suli	
JIMEA	Jimea	Jimea	Хими	Jimea	Jimea	Jimea	Jimea	Jimea	Jimea	
BETROTO	Betroto	Betroto	Бетрото	Betroto	Betroto	Betorto	Betroto	Betroto	Betroto	
ROTVIC	Rotvic	Rotvic	Ротвик	Rotvic	Rotvic	Rotovic	Rotvic	Rotvic	Rotvic	
VILLAGER	Villager	Campesino	Сельский житель	Camponês	Dorfbewohner	Wieśniak	Vesničan	köylü	Paesano	
RADAIM	Radaim	Radaim	Радаим	Radaim	Radaim	Radaim	Radaim	Radaim	Radaim	
TEALA	Teala	Teala	Тила	Teala	Teala	Teala	Teala	Teala	Teala	
STORMKNIGHT	Stormknight	Caballero de la Tormenta	Рыцарь Шторма	Cavaleiro da Tempestade	Sturmritter	Rycerz sztormu	Rytíř Rodu Storme	Stormknight	Cavaliere della tempesta	
GILMOUR	Gilmour	Gilmour	Гилмор	Gilmour	Gilmour	Gilmour	Gilmour	Gilmour	Gilmour	
VARSILIAN_KNIGHT	Varsilian Knight	Caballero de Varsilia	Варсилийский Рыцарь	Cavaleiro de Varsília	Varsilianischer Ritter	Varsiliański rycerz	Varsilijský Rytíř	Varsilian Knight	Cavaliere Varsiliano	
LATIMER	Latimer	Latimer	Латимер	Latimer	Latimer	Latimer	Latimer	Latimer	Latimer	
SIR_ANDREW_MASON	Sir Andrew Mason	Sir Andrew Mason	Сэр Эндрю Мэйсон	Sr. Andrew Mason	Sir Andrew Mason	Sir Andrew Mason	Sir Andrew Mason	Sör Andrew Mason	Sir Andrew Mason	
WATERS	Waters	Waters	Уотерс	Waters	Waters	Waters	Waters	deniz	Waters	
FRITHA_RHAYADER	Fritha Rhayader	Fritha Rhayader	Фрита Рейадер	Fritha Rhayader	Fritha Rhayader	Fritha Rhayader	Fritha Rhayader	Fritha Rhayader	Fritha Rhayader	
BAFRAT	Bafrat	Bafrat	Бафрат	Bafrat	Bafrat	Bafrat	Bafrat	Bafrat	Bafrat	
THUG	Thug	Matón	Головорез	Marginal	Schläger	Bandyta	Hrdlořez	eşkıya	Matón	
BARRET	Barret	Barret	Баррет	Barret	Barret	Barret	Barret	küçük şapka	Barret	
SPICE_TRADER_JETHRO	Spice Trader Jethro	Comerciante Jethro	Торговец Джетро	Comerciante de Especiarias Jethro	Gewürzhändler Jethro	Handlarz przypraw Jethro	Kořenář Jethro	Baharat tüccar jethro	Commercianto Jethro	
TRAP_BEAR	Bear Trap	Cepo	Медвежий капкан	Armadilha de Urso	Bärenfalle	Pułapka na niedźwiedzie	Medvědí Past	Ayı tuzağı	Trappola per Orsi	
TRAP_SPIKES	Spikes Trap	Trampa de Pinchos	Ловушка с шипами	Armadilha de Espinhos	Dornenfalle	Kolce	Ostnitá Past	Sivri kapanı	Trappola per Picchi	
GUARDIAN	Guardian	Guardián	Стражник	Guardião	Wächter	Strażnik	Strážce	Gardiyan	Guardiano	
CASTLE_GUARD	Castle Guard	Guardia del Castillo	Стража Замка	Guarda do Palácio	Schlosswache	Strażnik zamkowy	Hradní Stráž	Kale Muhafızı	Guardia del Castello	
HORTON	Horton	Horton	Хортон	Horton	Horton	Horton	Horton	Horton	Horton	
WARRIOR	Warrior	Guerrero	Воин	Guerreiro	Krieger	Wojownik	Válečník	Savaşçı	Guerriero	
MINER	Miner	Minero	Рудокоп	Minerador	Bergmann	Górnik	Horník	Madenci	Minatore	
OUTLAW	Outlaw	Bandido	Разбойник	Criminoso	Geächteter		Loupežník	Haydut	Fuorilegge	
OUTLAW_CHIEF	Outlaw Chief	Jefe de Bandidos	Главарь Разбойников	Chefe do Crime	Anführer der Geächteten		Šéf Loupežníků	Mahkum Şefi	Capo dei fuorilegge	
VARANNARI_LEADER	Varannari Leader	Líder Varannari	Вожак Вараннари	Líder Varannari	Anführer der Varannari	Lider Varannari	Varannarský Vůdce	Varannari Lider	Leader Varannari	
MASTER	Master	Maestro	Учитель	Mestre	Meister	Mistrz	Mistr	usta	Maestro	
GRANDMASTER	GrandMaster	Gran Maestro	Великий Учитель	Maestro Mor	Großmeister	Wielki Mistrz	Velmistr	Büyük usta	Gran Maestro	
TRAVELLING_ARMORER	Travelling armorer	Herrero viajante	Странствующий оружейник	Armeiro Viajante	Fahrender Waffenschmied	Podróżujący płatnerz	Potulný Zbrojíř	seyahat zırhı	Mercante viaggiatore	
TRAVELLING_ALCHEMIST	Travelling alchemist	Alquimista viajante	Странствующий алхимик	Alquimista Viajante	Fahrender Alchemist	Podróżujący alchemik	Potulný Alchymista	Simyacı seyahat	Alchimista viaggiatore	
SHADY_TRAVELLER	A shady traveller	Un viajero sombrío	Подозрительный странник	Viajante Sombrio	Zwielichtiger Reisender	Podejrzany podróżnik	Pochybný Poutník	Gölgeli bir gezgin	Un viaggiatore ombroso	
ORC_COMMANDER	Orc Commander	Comandante Orco	Командир орков	Comandante Ogro	Ork-Kommandeur	Dowódca orków	Orcký Velitel	Orc Komutanı	Comandante Orco	
TROLL_MARAUDER	Troll Marauder	Saqueador Troll	Тролль-мародёр	Troll Saqueador	Troll-Plünderer	Troll wędrowny	Trolský Najezdník	Troll Marauder	Troll Predatore	
INITIATE_GLAYDAN	Initiate Glaydan	Iniciado Glaydan	Посвященный Глейдэн	Glaydan o Novato	Neuling Glaydan	Wtajemniczony Glaydan	Učeň Glaydan	Glaydan'ı başlat	Iniziato Glaydan	
BUTTERFINGERS	Butterfingers	Butterfingers	Баттерфингерс	Dedos de Manteiga	Butterfinger	Butterfingers	Butterfingers	sakar kimse	Butterfingers	
LILIANA	Liliana	Liliana	Лилиана	Liliana	Liliana	Liliana	Liliana	Liliana	Liliana	
DIRG_SWEETBLADE	Dirg Sweetblade	Dirg Sweetblade	Дирг Свитблэйд	Dirg Sweetblade	Dirg Sweetblade	Dirg Sweetblade	Dirg Sweetblade	Dirg Sweetblade	Dirg Sweetblade	
GLARIUM	Glarium	Glarium	Глариум	Glarium	Glarium	Glarium	Glarium	Glarium	Glarium	
TORJA	Torja	Torja	Тория	Torja	Torja	Torja	Torja	Torja	Torja	
LORE_GUARDIAN	Lore Guardian	Guardián del conocimiento	Страж знаний	Guardião do Conhecimento	Wissenshüter	Strażnik wiedzy	Strážce Hledačů	Lore Guardian		
RURAZAR	Rur'âzar	Rur'âzar	Рур'азар	Rur'âzar	Rur'âzar	Rur'âzar	Rur'âzar	Rur'âzar	Rur'âzar	
TANGIR	Tangir	Tangir	Тангир	Tangir	Tangir	Tangir	Tangir	Tangir	Tangir	
AMARISA	Amarisa	Amarisa	Амариса	Amarisa	Amarisa	Amarisa	Amarisa	Amarisa	Amarisa	
DAREMA_BRIGHTHAMMER	Darema Brighthammer	Darema Brighthammer	Дарема Брайтхаммер	Darema Brighthammer	Darema Brighthammer	Darema Brighthammer	Darema Brighthammer	Darema Brighthammer	Darema Brighthammer	
FORSAKEN	Forsaken	Olvidado	Отречённый	Exilado	Vergessener	Forsaken	Zatracený	terkedilmiş	Dimenticato	
FRIGULD_INN	The Fifth Wind	El Quinto Viento	Пятый Ветер	O Quinto Vento	Zum Fünften Wind	The Fifth Wind	Pátý Vítr	Beşinci Rüzgar	Il quinto Vento	
VARANNARI	Varannari	Varannari	Вараннари	Varannari	Varannari	Varannari	Varannari	Varannari	Varannari	
STEEL_THUNDER	Steel Thunder	Trueno de Acero	Стальной Гром	Trovão de Aço	Stählerner Donner	Stalowy Grzmot	Ocelový Hrom	Çelik gök gürültüsü	Tuono di Acciaio	
JARBAD	Jarbad	Jarbad	Харбад	Jarbad	Jarbad	Jarbad	Jarbad	Jarbad	Jarbad	
CRUSADER	Crusader	Cruzado	Паладин	Guerreiro das Cruzadas	Kreuzritter	Krzyżowiec	Křižák	haçlı	Crociato	
CAPTAIN	Captain	Capitán	Капитан	Capitão	Hauptmann	Kapitan	Kapitán	Kaptan	Capitano	
ALCHEMIST_VERA	Alchemist Vera	Alquimista Vera	Алхимик Вера	Alquimista Vera	Alchemistin Vera	Alchemista Wera	Alchymistka Vera	simyacı Vera	Alchimista Vera	
ARMORER_HAN	Armorer Han	Armero Han	Оружейник Хан	Armeiro Han	Waffenschmied Han	Płatnerz Han	Zbrojíř Han	Zırh Hanı	Armaiolo Han	
ZILDA	Zilda	Zilda	Зилда	Zilda	Zilda	Zilda	Zilda	zilda	Zilda	
KALIS	Kalis	Kalis	Калиса	Kalis	Kalis	Kalis	Kalis	Kalis	Kalis	
CAPTAIN_DORSE	Captain Dorse	Capitán Dorse	Капитан Дорс	Capitão Dorse	Kapitän Dorse	Kapitan Dorse	Kapitán Dorse	Yüzbaşı Dorse	Capitano Dorse	
CADUL	Cadul	Cadul	Кадул	Cadul	Cadul	Cadul	Cadul	Cadul	Cadul	
