id	description	description_ES	desc_RU	desc_PT	desc_DE	desc_PL	desc_CZ	desc_TR	desc_IT	desc_FR
1	This Town Hall is a small but sturdy building, which serves as both the administrative center of the town and the residence of the Baron. The banners of the Kingdom of Varsilia hang everywhere, as well as the local flag.<p> This is a small and quiet keep, as expected in a town this size. You just see a few watchmen and clerks quietly performing their duties.	Este ayuntamiento es un edificio pequeño pero robusto, que es el centro de gobierno del pueblo y la residencia del barón . Los estandartes del Reino de Varsilia cuelgan por todas partes, así como la bandera local.<p> Es una fortaleza pequeña y tranquila, como corresponde a un pueblo de este tamaño. Tan sólo se ve a unos pocos guardias y funcionarios cumpliendo con sus tareas.	Эта ратуша - приземистое, но крепкое строение, где располагается городская администрация и резиденция барона. Повсюду висят местные и Варсилийские флаги.<p> Здесь тесновато и довольно тихо, так же, как и в самом городке. Только несколько стражников и писцов без шума выполняют свои обязанности.	Esta Prefeitura é um edifício pequeno, mas robusto, que serve tanto como o centro administrativo da cidade quanto residência do Barão. As bandeiras do Reino de Varsilia estão penduradas em todos os lugares, bem como a bandeira local. <p> Aqui se mantem pequeno e calmo, como seria de se esperar de uma cidade deste tamanho. Pode-se ver alguns guardas e empregados executando quietamente seus afazeres.	Dieses Rathaus ist ein kleines aber robustes Gebäude, das sowohl als Verwaltungszentrum der Stadt als auch Residenz des Barons dient. Die Banner des Königreichs Varsilia sowie die lokale Flagge hängen überall.<p> Es ist ein kleiner und ruhiger Burgfried, so wie man ihn in einer Stadt dieser Größe erwartet. Du siehst nur einige Wachen und Beamte still ihrer Arbeit nachgehen.	Ten Ratusz jest małym, ale solidnym budynkiem służącym zarazem jako centrum administracyjne miasta i rezydencja Barona. Wszędzie wiszą chorągwie Królestwa Varsilii, jak również lokalna flaga.<p>To mała i cicha baszta, jakiej można się spodziewać po rozmiarach miasta. Widzisz tylko kilku strażników i urzędników w ciszy wypełniających swoje obowiązki.	Tato Radnice je malá, avšak robustní budova, jež slouží jako administrativní centrum a rezidence Barona. Prapory Království Varsilia visí všude, stejně jako městská vlajky.<p> Je to malá a tichá pevnost, jež odpovídá velikosti vesnice. Vidíš několik stráží a úředníků, jež v tichosti plní své povinnosti.		Questo edificio è piccolo ma robusto in quanto, oltre ad ospitare gli uffici ammistrativi, è anche la residenza del Barone. Le effigi del Regno di Varsilia sono ovunque, così come la bandiera locale.<p> Si tratta di un piccolo e tranquillo mastio in armonia col villaggio che lo ospita. Entrando si intravedono delle guardie e alcuni commessi silenziosamente impegnati nei loro affari.	
2	This large stone building serves as both the administrative center of the town and the residence of the Baron. The banners of the Kingdom of Varsilia hang everywhere, as well as the local flag.<p>The place is busy with soldiers, clerks, and even adventurers seeking jobs in a nearby recruitment desk.	Este gran edificio de piedra es el centro de gobierno dela ciudad y también la residencia del barón . Los estandartes del Reino de Varsilia cuelgan por todas partes, así como la bandera local.<p>Se trata de un castillo con actividad: soldados, funcionarios e incluso aventureros buscando misiones que completar a cambio de recompensas.	Это большое каменное строение служит городской администрацией и резиденцией барона. Повсюду висят местные и Варсилийские флаги.<p> Здание полно стражников, писцов и даже искателей приключений, ищущих работу у доски с объявлениями.	Esta grande e larga construção de pedra serve tanto como centro administrativo da cidade e residência do Barão. As bandeiras do Reino de Varsilia estão penduradas em todos os lugares, bem como a bandeira local. <p> Este lugar está ocupado por soldados, empregados e também aventureiros procurando por trabalhos perto do balcão de recrutamento.	Dieses große steinerne Gebäude dient sowohl als Verwaltungszentrum der Stadt als auch Residenz des Barons. Die Banner des Königreichs Varsilia sowie die lokale Flagge hängen überall.<p> Der Ort wimmelt nur so vor Soldaten, Beamten und sogar Abenteurern, die in einer nahegelegenen Rekrutierungsstelle nach Arbeit suchen.	Ten duży, kamienny budynek służy zarówno jako centrum administracji oraz rezydencja Barona. Wszędzie wiszą chorągwie Królestwa Varsilii, jak również lokalna flaga.<p> Tłoczno tu od żołnierzy, urzędników, a nawet poszukiwaczy przygód szukających zajęcia przy pobliskim biurku rekrutacji.	Tato velká kamenná budova slouží jako administrativní centrum a rezidence Barona. Prapory Kralovství Varsilia visí všude stejně jako místní vlajka.<p>Místo je obsypáno vojáky, úředníky a dokonce dobrodruhywith soldiers, clerks, ba dokonce dobrodruhy shánějícími práci v rekrutačním oddělení.		Questo grosso edificio ospita sia gli uffici amministrativi che la residenza del Barone. Le effigi del Regno di Varsilia sono ovunqe, così come la bandiera locale.<p> L'edificio è pieno di soldati, impiegati ed anche di avventurieri alla ricerca di un lavoro.	
3	This Town Hall is a small but sturdy building, which serves as both the administrative center of the town and the residence of the Baroness. The banners of the Kingdom of Ilmara hang everywhere, as well as the local flag.<p> This is a small and quiet keep, as expected in a town this size. You just see a few watchmen and clerks quietly performing their duties.	Este ayuntamiento es un edificio pequeño pero robusto, que es el centro de gobierno del pueblo y la residencia de la baronesa . Los estandartes del Reino de Ilmara cuelgan por todas partes, así como la bandera local.<p> Es una fortaleza pequeña y tranquila, como corresponde a un pueblo de este tamaño. Tan sólo se ve a unos pocos guardias y funcionarios cumpliendo con sus tareas.	Эта ратуша - приземистое, но крепкое строение, где располагается городская администрация и резиденция баронессы. Повсюду висят местные и Илмарийские флаги.<p> Здесь тесновато и довольно тихо, так же, как и в самом городке. Только несколько стражников и писцов без шума выполняют свои обязанности.	Esta Prefeitura é um edifício pequeno, mas robusto, que serve tanto como o centro administrativo da cidade quanto residência da Baronesa. As bandeiras do Reino de Ilmara estão penduradas em todos os lugares, bem como a bandeira local. <p> Aqui se mantem calmo, como seria de se esperar de uma cidade deste tamanho. Pode-se ver alguns guardas e empregados executando quietamente seus afazeres.	Dieses Rathaus ist ein kleines, aber robustes Gebäude, das sowohl als Verwaltungszentrum der Stadt als auch Residenz der Baronin dient. Die Banner des Königreichs Ilmara sowie die lokale Flagge hängen überall.<p> Es ist ein kleiner und ruhiger Burgfried, so wie man ihn in einer Stadt dieser Größe erwartet. Du siehst nur einige Wachen und Beamte still ihrer Arbeit nachgehen.	Ten Ratusz jest małym, ale solidnym budynkiem służącym zarazem jako centrum administracyjne miasta i rezydencja Baronowej. Wszędzie wiszą chorągwie Królestwa Ilmary, jak również lokalna flaga.<p>To mała i cicha baszta, jakiej można się spodziewać po rozmiarach miasta. Widzisz tylko kilku strażników i urzędników w ciszy wypełniających swoje obowiązki.	Tato Radnice je malá, přesto robustní budova, jež slouží jako administrativní centrum a rezidence Baronky. Prapory Království Ilmara visí všude stejně jako městská vlajka.<p> Je to malá a tichá pevnost, jež odpovídá velikosti vesnice. Vidíš několik stráží a úředníků, jež v tichosti plní své povinnosti.		Questo edificio è piccolo ma robusto in quanto, oltre ad ospitare gli uffici ammistrativi, è anche la residenza della Baronessa. Le effigi del Regno di Ilmara sono ovunque, così come la bandiera locale.<p> Si tratta di un piccolo e tranquillo mastio in armonia col villaggio che lo ospita. Entrando si intravedono delle guardie e alcuni commessi silenziosamente impegnati nei loro affari.	
4	This Town Hall is a small but sturdy building, which serves as both the administrative center of the town and the residence of the Commander. The banners of the Kingdom of Mercia hang everywhere, as well as the local flag.<p> This is a small and quiet keep, as expected in a town this size. You just see a few watchmen and clerks quietly performing their duties.	Este ayuntamiento es un edificio pequeño pero robusto, que es el centro de gobierno del pueblo y la residencia del Comandante . Los estandartes del Reino de Mercia cuelgan por todas partes, así como la bandera local.<p> Es una fortaleza pequeña y tranquila, como corresponde a un pueblo de este tamaño. Tan sólo se ve a unos pocos guardias y funcionarios cumpliendo con sus tareas.	Эта ратуша - приземистое, но крепкое строение, где располагается городская администрация и резиденция командора. Повсюду висят местные и Мерсийские флаги.<p> Здесь тесновато и довольно тихо, так же, как и в самом городке. Только несколько стражников и писцов без шума выполняют свои обязанности.	Essa Prefeitura é um pequeno porém robusto prédio, que serve ambos como centro administrativo da cidade e a residência do Comandante. As bandeiras do Reino de Mércia estão penduradas por toda parte, assim como a bandeira local.<p> Isso é uma pequena e quieta construção, como esperado de uma cidade desse tamanho. Você vê poucos guardas e escrivãos silenciosamente fazendo seu trabalho.	Dieses Rathaus ist ein kleines, aber robustes Gebäude, das sowohl als Verwaltungszentrum der Stadt als auch Residenz des Kommandanten dient. Die Banner des Königreichs Mercia sowie die lokale Flagge hängen überall.<p> Es ist ein kleiner und ruhiger Burgfried, so wie man ihn in einer Stadt dieser Größe erwartet. Du siehst nur einige Wachen und Beamte still ihrer Arbeit nachgehen.	Ten Ratusz jest małym, ale solidnym budynkiem służącym zarazem jako centrum administracyjne miasta i rezydencja Naczelnika. Wszędzie wiszą chorągwie Królestwa Mercii, jak również lokalna flaga.<p>To mała i cicha baszta, jakiej można się spodziewać po rozmiarach miasta. Widzisz tylko kilku strażników i urzędników w ciszy wypełniających swoje obowiązki.	Tato Radnice je malá, avšak robustní budova, jež slouží jako administrativní centrum a rezidence Velitele. Prapory Království Mercia visí všude, stejně jako městská vlajka.<p> Je to malá a tichá pevnost, jež odpovídá velikosti vesnice. Vidíš několik stráží a úředníků, jež v tichosti plní své povinnosti.		Questo edificio è piccolo ma robusto in quanto, oltre ad ospitare gli uffici ammistrativi, è anche la residenza del Comandante. Le effigi del Regno di Mercia sono ovunque, così come la bandiera locale.<p> Si tratta di un piccolo e tranquillo mastio in armonia col villaggio che lo ospita. Entrando si intravedono delle guardie e alcuni commessi silenziosamente impegnati nei loro affari.	
5	This large stone building serves as both the administrative center of the town and the residence of the Governor. The banners of the Kingdom of Varsilia hang everywhere, as well as the local flag.<p>The place is busy with soldiers, clerks, and even adventurers seeking jobs in a nearby recruitment desk.	Este gran edificio de piedra es el centro de gobierno de la ciudad y también la residencia del gobernador. Los estandartes del Reino de Varsilia cuelgan por todas partes, así como la bandera local.<p>Se trata de un castillo con mucha actividad: soldados, funcionarios e incluso aventureros buscando misiones que completar a cambio de recompensas.	Это большое каменное строение служит городской администрацией и резиденцией губернатора. Повсюду висят местные и Варсилийские флаги.<p> Здание полно стражников, писцов и даже искателей приключений, ищущих работу у доски с объявлениями.	Esse grande prédio de pedra serve ambos como centro administrativo da cidade e a residência do Governador. As bandeiras do Reino de Varsilia estão por toda parte, assim como a bandeira local.<p> O lugar está ocupado com soldados, escrivãos e até aventureiros buscando trabalho em uma mesa de recrutamento próxima.	Dieses große steinerne Gebäude dient sowohl als Verwaltungszentrum der Stadt als auch Residenz des Gouverneurs. Die Banner des Königreichs Varsilia sowie die lokale Flagge hängen überall.<p> Der Ort wimmelt nur so vor Soldaten, Beamten und sogar Abenteurern, die in einer nahegelegenen Rekrutierungsstelle nach Arbeit suchen.	Ten duży, kamienny budynek służy zarówno jako centrum administracji oraz rezydencja Gubernatora. Wszędzie wiszą chorągwie Królestwa Varsilii, jak również lokalna flaga.<p> Tłoczno tu od żołnierzy, urzędników, a nawet poszukiwaczy przygód szukających zajęcia przy pobliskim biurku rekrutacji.	Tato velká kamenná budova slouží jako administrativní centrum a rezidence Guvernéra. Prapory Kralovství Varsilia visí všude stejně jako místní vlajka.<p>Místo je obsypáno vojáky, úředníky a dokonce dobrodruhywith soldiers, clerks, ba dokonce dobrodruhy shánějícími práci v rekrutačním oddělení.		Questo grosso edificio ospita sia gli uffici amministrativi che la residenza del Governatore. Le effigi del Regno di Varsilia sono ovunqe, così come la bandiera locale.<p>L'edificio è pieno di soldati, impiegati ed anche di avventurieri alla ricerca di un lavoro.	
6	This Town Hall is a small but sturdy building, which serves as both the administrative center of the town and the residence of the Commander. The banners of the Kingdom of Mercia hang everywhere, as well as the local flag.<p> This is a small and quiet keep, as expected in a town this size. You just see a few watchmen and clerks quietly performing their duties.	Este ayuntamiento es un edificio pequeño pero robusto, que es el centro de gobierno del pueblo y la residencia del Comandante . Los estandartes del Reino de Mercia cuelgan por todas partes, así como la bandera local.<p> Es una fortaleza pequeña y tranquila, como corresponde a un pueblo de este tamaño. Tan sólo se ve a unos pocos guardias y funcionarios cumpliendo con sus tareas.	Эта ратуша - приземистое, но крепкое строение, где располагается городская администрация и резиденция командора. Повсюду висят местные и Мерсийские флаги.<p> Здесь тесновато и довольно тихо, так же, как и в самом городке. Только несколько стражников и писцов без шума выполняют свои обязанности.	Essa Prefeitura é um pequeno porém robusto prédio, que serve ambos como centro administrativo da cidade e a residência do Comandante. As bandeiras do Reino de Mércia estão penduradas por toda parte, assim como a bandeira local.<p> Isso é uma pequena e quieta construção, como esperado de uma cidade desse tamanho. Você vê poucos guardas e escrivãos silenciosamente fazendo seu trabalho.	Dieses Rathaus ist ein kleines, aber robustes Gebäude, das sowohl als Verwaltungszentrum der Stadt als auch Residenz des Kommandanten dient. Die Banner des Königreichs Mercia sowie die lokale Flagge hängen überall.<p> Es ist ein kleiner und ruhiger Burgfried, so wie man ihn in einer Stadt dieser Größe erwartet. Du siehst nur einige Wachen und Beamte still ihrer Arbeit nachgehen.	Ten Ratusz jest małym, ale solidnym budynkiem służącym zarazem jako centrum administracyjne miasta i rezydencja Naczelnika. Wszędzie wiszą chorągwie Królestwa Mercii, jak również lokalna flaga.<p>To mała i cicha baszta, jakiej można się spodziewać po rozmiarach miasta. Widzisz tylko kilku strażników i urzędników w ciszy wypełniających swoje obowiązki.	Tato Radnice je malá, avšak robustní budova, jež slouží jako administrativní centrum a rezidence Velitele. Prapory Království Mercia visí všude, stejně jako městská vlajka.<p> Je to malá a tichá pevnost, jež odpovídá velikosti vesnice. Vidíš několik stráží a úředníků, jež v tichosti plní své povinnosti.		Questo edificio è piccolo ma robusto in quanto, oltre ad ospitare gli uffici ammistrativi, è anche la residenza del Comandante. Le effigi del Regno di Mercia sono ovunque, così come la bandiera locale.<p> Si tratta di un piccolo e tranquillo mastio in armonia col villaggio che lo ospita. Entrando si intravedono delle guardie e alcuni commessi silenziosamente impegnati nei loro affari.	
7	As is usual in Mercian official buildings, everything is quiet, clean and orderly, to the point of obsession. There are banners of the Mercian red fist everywhere, as well as portraits of the King.<p>This is a massive fortress, and as mercians love paperwork, it is rather busy too. 	Como es habitual en edificios oficiales en Mercia, todo es silencioso, limpio y organizado hasta la obsesión. Hay estandartes del puño de Mercia en todas partes, así como retratos del rey.<p>Es una fortaleza enorme, y como a los mercios les encanta el papeleo, además está llena de gente.	Как это всегда бывает в официальных учреждениях Мерсии, всё тихо, чисто и аккуратно до безумия. Повсюду флаги с Мерсийским красным кулаком и портреты короля.<p> Это большая крепость, и, так как мерсийцы обожают бюрократию, полная делового народа.	Como é frequente em prédios oficiais de Mércia, tudo é silencioso, limpo e ordenado, ao ponto de obssessão. Tem bandeiras do punho vermelho de Mércia por toda parte, assim como retratos do Rei.<p> Esse é um forte massivo, como Mercianos adoram trabalhar com papéis, está bem ocupado aqui.	Wie in mercianischen Amtsgebäuden üblich, geht es hier schon fast zwanghaft ruhig, sauber und geordnet zu. Überall hängen Banner der mercianischen roten Faust und Portraits des Königs.<p> Dies ist eine gewaltige Festung, und da Mercianer Papierkram lieben, ist es auch ziemlich geschäftig.	Jak zazwyczaj w Merciańskich oficjalnych budynkach, panuje tu cisza, czystość i porządek, aż do punktu obsesji. Wszędzie widać chorągwie Merciańskiej czerwonej pięści, jak również portrety Króla.<p> To potężna forteca i jak to Mercianie uwielbiają papierkową robotę, jest tu też raczej tłoczno.	Jak je zvykem v Mercijských úředních budovách všude je ticho, čistota a pořádek, jímž jsou mercijci posedlý. Prapory s Mercijskou červenou pěstí jsou všude, stejně tak jako i portréty Krále.<p> Je to masivní pevnost a vzhledem k tomu, že mercijci milují papírování, je tu také čilý ruch.		Com'è abituale in tutti gli edifici pubblici Merciani, qui c'è silenzio e tutto il luogo è maniacalmente ordinato e pulito. Le effigi col pugno rosso della Mercia sono dappertutto, come anche i ritratti del Re.<p> La fortezza è imponente e, siccome i merciani amano le scartoffie, sono tutti molto impegnati.	
8	This large stone building serves as both the administrative center of the town and the residence of the Baron. The banners of the Kingdom of Varsilia hang everywhere, as well as the local flag.<p>The place is busy with soldiers, clerks, and even adventurers seeking jobs in a nearby recruitment desk.	Este gran edificio de piedra es el centro de gobierno de la ciudad y también la residencia del barón . Los estandartes del Reino de Varsilia cuelgan por todas partes, así como la bandera local.<p>Se trata de un castillo con actividad: soldados, funcionarios e incluso aventureros buscando misiones que completar a cambio de recompensas.	Это большое каменное строение служит городской администрацией и резиденцией барона. Повсюду висят местные и Варсилийские флаги.<p> Здание полно стражников, писцов и даже искателей приключений, ищущих работу у доски с объявлениями.	Esse grande prédio de pedra serve ambos como centro administrativo da cidade e a residência do Governador. As bandeiras do Reino de Varsilia estão por toda parte, assim como a bandeira local.<p> O lugar está ocupado com soldados, escrivãos e até aventureiros buscando trabalho em uma mesa de recrutamento próxima.	Dieses große steinerne Gebäude dient sowohl als Verwaltungszentrum der Stadt als auch Residenz des Barons. Die Banner des Königreichs Varsilia sowie die lokale Flagge hängen überall.<p> Der Ort wimmelt nur so vor Soldaten, Beamten und sogar Abenteurern, die in einer nahegelegenen Rekrutierungsstelle nach Arbeit suchen.	Ten duży, kamienny budynek służy zarówno jako centrum administracji oraz rezydencja Barona. Wszędzie wiszą chorągwie Królestwa Varsilii, jak również lokalna flaga.<p> Tłoczno tu od żołnierzy, urzędników, a nawet poszukiwaczy przygód szukających zajęcia przy pobliskim biurku rekrutacji.	Tato velká kamenná budova slouží jako administrativní centrum a rezidence Barona. Prapory Kralovství Varsilia visí všude stejně jako místní vlajka.<p>Místo je obsypáno vojáky, úředníky a dokonce dobrodruhywith soldiers, clerks, ba dokonce dobrodruhy shánějícími práci v rekrutačním oddělení.		Questo grosso edificio ospita sia gli uffici amministrativi che la residenza del Barone. Le effigi del Regno di Varsilia sono ovunqe, così come la bandiera locale.<p>L'edificio è pieno di soldati, impiegati ed anche di avventurieri alla ricerca di un lavoro.	
9	This ancient building serves both as administrative center of town, and as residence of the Mayor. The banners of the Kingdom of Ilmara are in display everywhere.<p>The place is busy with soldiers, clerks, and even adventurers seeking jobs in a nearby recruitment desk.	Este antiguo edificio sirve como centro de gobierno de la ciudad y la residencia del alcalde. Los estandartes del Reino de Ilmara cuelgan por todas partes.<p>Se trata de un castillo con mucha actividad: soldados, funcionarios e incluso aventureros buscando misiones que completar a cambio de recompensas.	Это древнее строение служит городской администрацией и резиденцией мэра. Повсюду висят Илмарийские флаги.<p> Здание полно стражников, писцов и даже искателей приключений, ищущих работу у доски с объявлениями.	Esse antigo prédio serve ambos como centro administrativo da cidade e como residência do Prefeito. As bandeiras do Reino de Ilmara estão expostos por todas parte.<p> O lugar está ocupado com soldados, escrivãos e até aventureiros procurando trabalhos numa mesa de recrutamento próxima.	Dieses antike Gebäude dient sowohl als Verwaltungszentrum der Stadt als auch Residenz des Bürgermeisters. Die Banner des Königreichs Ilmara hängen überall.<p> Der Ort wimmelt nur so vor Soldaten, Beamten und sogar Abenteurern, die in einer nahegelegenen Rekrutierungsstelle nach Arbeit suchen.	Ten starożytny budynek służy zarówno jako centrum administracji miasta oraz jako rezydencja Burmistrza. Wszędzie wystawiono chorągwie Królestwa Ilmary.<p>Tłoczno tu od żołnierzy, urzędników, a nawet poszukiwaczy przygód szukających zajęcia przy pobliskim biurku rekrutacji.	Tato starodávná budova slouží jako administrativní budova a rezidence Starosty. Kralovství Ilmara visí všude.<p>Místo je obsypáno vojáky, úředníky a dokonce dobrodruhywith soldiers, clerks, ba dokonce dobrodruhy shánějícími práci v rekrutačním oddělení.		Questo antico edificio ospita sia gli uffici amministrativi che la residenza del Sindaco. Le effigi del Regno di Ilmara sono ovunqe, così come la bandiera locale.<p> L'edificio è pieno di soldati, impiegati ed anche di avventurieri alla ricerca di un lavoro.	
10	This Town Hall is a small but sturdy building, which serves as both the administrative center of the town and the residence of the Baroness. The banners of the Kingdom of Ilmara hang everywhere, as well as the local flag.<p> This is a small and quiet keep, as expected in a town this size. You just see a few watchmen and clerks quietly performing their duties.	Este ayuntamiento es un edificio pequeño pero robusto, que es el centro de gobierno del pueblo y la residencia de la baronesa . Los estandartes del Reino de Ilmara cuelgan por todas partes, así como la bandera local.<p> Es una fortaleza pequeña y tranquila, como corresponde a un pueblo de este tamaño. Tan sólo se ve a unos pocos guardias y funcionarios cumpliendo con sus tareas.	Эта ратуша - приземистое, но крепкое строение, где располагается городская администрация и резиденция баронессы. Повсюду висят местные и Илмарийские флаги.<p> Здесь тесновато и довольно тихо, так же, как и в самом городке. Только несколько стражников и писцов без шума выполняют свои обязанности.	Essa Prefeitura é um prédio pequeno porém resistente, que serve como ambos centro administrativo da cidade e a residência da Baronesa. As bandeiras do Reino de Ilmara estão pendurados por toda parte, assim como a bandeira local.<p> Essa é uma pequena e quieta fortificação, já esperado de uma cidade desse tamanho. Você vê apenas alguns guardas e escrivãos silenciosamente realizando suas tarefas.	Dieses Rathaus ist ein kleines, aber robustes Gebäude, das sowohl als Verwaltungszentrum der Stadt als auch Residenz der Baronin dient. Die Banner des Königreichs Ilmara sowie die lokale Flagge hängen überall.<p> Es ist ein kleiner und ruhiger Burgfried, so wie man ihn in einer Stadt dieser Größe erwartet. Du siehst nur einige Wachen und Beamte still ihrer Arbeit nachgehen.	Ten Ratusz jest małym, ale solidnym budynkiem służącym zarazem jako centrum administracyjne miasta i rezydencja Baronowej. Wszędzie wiszą chorągwie Królestwa Ilmary, jak również lokalna flaga.<p>To mała i cicha baszta, jakiej można się spodziewać po rozmiarach miasta. Widzisz tylko kilku strażników i urzędników w ciszy wypełniających swoje obowiązki.	Tato Radnice je malá, přesto robustní budova, jež slouží jako administrativní centrum a rezidence Baronky. Prapory Království Ilmara visí všude stejně jako městská vlajka.<p> Je to malá a tichá pevnost, jež odpovídá velikosti vesnice. Vidíš několik stráží a úředníků, jež v tichosti plní své povinnosti.		Questo edificio è piccolo ma robusto in quanto, oltre ad ospitare gli uffici ammistrativi, è anche la residenza della Baronessa. Le effigi del Regno di Ilmara sono ovunque, così come la bandiera locale.<p> Si tratta di un piccolo e tranquillo mastio in armonia col villaggio che lo ospita. Entrando si intravedono delle guardie e alcuni commessi silenziosamente impegnati nei loro affari.	
