spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	rarity	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
bandit_male									co	bandits				5		
bandit_ranged									un	bandits				5		
bandit_female_elite									ra	bandits				5		
bandit_male_elite									ra	bandits				5		
bandit_male									co	bandits			6			
bandit_ranged									co	bandits			6			
bandit_female_elite									un	bandits			6			
bandit_male_elite									un	bandits			6			
outlaw									un	bandits			6	8		
outlaw_archer									ra	bandits			6	8		
bandit_male_assasin									un	bandits			7	9		
bandit_male_elite									co	bandits			7	9		
