spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
grey_wolf									co	beasts			1	2		
grey_wolf									co	beasts			3	5		
wolf									un	beasts			3	5		
dire_wolf									ra	beasts			3	5		
wolf									co	beasts			6			
dire_wolf									un	beasts			6			
white_wolf									ra	beasts			7			
dire_wolf									ra	beasts			6			
spider_lesser									un	beasts			2	4		
wolf									co	beasts			4	6		
dire_wolf									co	beasts			5	7		
bear									ra	beasts			6	8		
white_wolf									un	beasts			7	9		
