spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
orc									co	enemy			1	2		
orc									co	enemy			3	5		
orc_warrior									co	enemy			3	5		
orc_elite									ra	enemy			3	5		
orc									co	enemy			6			
orc_warrior									co	enemy			6			
orc_elite									co	enemy			6			
orc_archer									un	enemy			4	6		
orc_cook									ra	enemy			5	6		
orc_shooter									un	enemy			6	8		
orc_trooper									ra	enemy			8	10		
