progress	description	description_ES	actions
0	Drastic Steps	po	
10	I have to take Havis to Sol-Laqueul, but first I have to discuss a plan with her.	po.	
15	I must accompany Havis to Sol-Laqueul, but first I must visit her refuge in the northeast of the Kalion Ridge.	po.	
20	Havis and I were attacked by bandits, and I must deal with them.	po.	
25	I have to take Havis to Sol-Laqueul.	po.	
30	Havis and I have to meet with the governor of Sol-Laqueul.	po.	
32	Havis and I have to meet with the governor of Sol-Laqueul.	po.	
33	Havis and I have to meet with the governor of Sol-Laqueul.	po.	
35	I need to leave Governor Sol-Laqueul's office.	po.	
40	I need to go to Isreel and find Lukan or magister Kaledor.	po.	
42	Something has happened to Lukan, and I can't meet with him, but I need to try to find magister Kaledor.	po.	
45	I must return to the Royal Forest and deliver the information magister Kaledor gave me to Alarion.	po.	
100	I decided not to help Prince Alarion anymore.	po.	
110	I agreed to continue helping Prince Alarion in his rebellious cause.	po.	
