progress	description	description_ES	actions
0	Fiery Dancing	po	
10	In the dungeon near the Freeport, I found a magic crystal on the magician's body, it is necessary to find someone who knows what kind of crystal it is.	po.	
20	Wizard Isabot suggested that the crystal is somehow connected with the red ghost that began to appear at night in the vicinity of Freeport, it is necessary to find it.	po.	
30	I learned from the red ghost about the fire altar at the Foothills Zamohr, I have to find it to learn more about the magic crystal.	po.	
40	The demon from the fire altar agreed to teach me how to use the crystal, but I have to pass his strength test!	po.	
45	I passed the demon's strength test, now I need to talk to him again.	po.	
50	I have to find 9 fiery cores lavaman to charge the crystal.	po.	
51	I found one fiery core, there are still 8 left.	po.	
52	I found two fiery cores, there are still 7 left.	po.	
53	I found three fire cores, there are 6 more left.	po.	
54	I found 4 fire cores, there are 5 more left.	po.	
55	I found 5 fire cores, there are 4 more left.	po.	
56	I found 6 fire cores, there are 3 more left.	po.	
57	I found 7 fire cores, there are two more left.	po.	
58	I found 8 fiery cores, there is still one left.	po.	
59	I found 9 fire cores, now I need to go back to the demon to charge the crystal.	po.	
60	I ran into the creator lavaman and he was unhappy with my actions, now I need to go back to the demon to charge the crystal.	po.	
65	I ran into the creator lavaman and agreed with him to kill the demon.	po.	
70	Demon and dragon grappled with each other in battle, I have to help kill the demon.	po.	
100	The demon Femipet gave me a charged magic crystal.	po.	
110	I helped the dragon kill the demon Femipet, the energy released from it charged the magic crystal.	po.	
