progress	description	description_ES	actions
0	The further into the forest...	po	
10	 In the Sagar forest, I met a mushroomer who offered me to taste his mushrooms with him, but I refused.	po.	
15	In the Sagar forest, I met a mushroomer who offered me to taste his mushrooms with him, I agreed.	po.	
17	I have moved to an unknown place, I need to figure out how to get out of here.	po.	
20	The mushroomer I was eating mushrooms with was kidnapped by the little green men, I have to save him and get out of the place I found myself in.	po.	
25	A talking, green dog offered to show me the way, but I refused.	po.	
30	A talking, green dog told me that I should go straight along the path to get to the bridge.	po.	
35	Bridge doesn't want to let me go to the other side, maybe someone can tell me how to change his mind.	po.	
40	A talking, green dog suggested that I find and beat up three friends of Bridge so that he would let me through.	po.	
41	I found and beat up one of the friends of Bridge, there are two more left.	po.	
42	I found and beat up two friends of Bridge, there is still one left.	po.	
43	I found and beat up three friends of Bridge, now I need to talk to him again.	po.	
45	Bridge informed me about three camps of little green men on the other side of the river, one of which may contain a mushroomer.	po.	
46	I found one of the little green men's camps, but there was no mushroomer in it.	po.	
47	I found the second camp of the little green men, but there was no mushroomer in it.	po.	
48	The little green man informed me that I would find a mushroomer in the mountains, where you can get by jumping over a pit.	po.	
50	I jumped over the pit, now it remains to find the forester.	po.	
60	I found the mushroomer, now I need to find out from him what happened.	po.	
100	I ate the mushroomer's mushrooms in the Sagar forest.	po.	
