progress	description	description_ES	actions
0	Guest from Other Worlds	po	
10	In the gateway of the Freeport, I ran into bandits who attacked some guy, I decided to help him.	po.	
20	The guy I saved from the bandits is named Neville, he offered to join him in the search for treasures that are in the northern mountains Thir.	po.	
30	In the temple on the mountain, I found a creature from other worlds imprisoned in it, I promised to free him, for this you need to find four magical artifacts, perhaps Neville can help.	po.	
40	I must find four magical artifacts that will destroy the seals that hold back a creature from other worlds in order to free it.	po.	
41	I have destroyed one of the four seals restraining a creature from other worlds.	po.	
42	I have destroyed two of the four seals restraining the being from other worlds.	po.	
43	I have destroyed three of the four seals restraining the being from other worlds.	po.	
44	I have destroyed all the seals restraining a creature from other worlds, now I can discuss my reward with him.	po.	
100	A creature from other worlds is on the free.	po.	
110	In the gateway of the Freeport, I ran into bandits who attacked some guy, I decided not to help him.	po.	
