progress	description	description_ES	actions
0	Honor among Thieves	Honor entre Ladrones	
10	"Rolf Erhar is holed up in Freetown's thieves' guild, fearing retaliation from his former gang members if he walks out. He has asked me to find Nifuruc and rid him of the problem; in exchange, he offers an ancient red key from the Royal Crypts."	Rolf Erhar no puede salir del escondite del gremio de ladrones en Freetown, porque los miembros de su antigua banda esperan para acabar con él. Me ha pedido que encuentre al jefe, Nifuruc, y solucione el problema. A cambio me ofrece una llave roja de las Criptas Reales.	
30	I made a deal with Nifuruc in Freetown. I have to bring him [BLUE]1 Emerald, 1 Ruby, 1 Sapphire and 3 pearls[], and he'll spare Rolf for allegedly throwing the gems to the Nekhar river.	He hecho un trato con Nifuruc in Freetown. Debo traerle [BLUE]1 Esmeralda, 1 Rubí, 1 Zafiro y 3 perlas[], y perdonará a Rolf por haber tirado las gemas al río Nekhar.	
40	I have decided to betray Rolf Erhar and hand him over to Nifuruc and his men. I should now go and talk to Rolf, in the Seventh House guildhouse in Freetown.	"He decidido traicionar a Rolf Erhar, y entregárselo a Nifuruc y sus esbirros; ahora debería ir a buscar a Rolf. Se encuentra en el gremio de los ladrones en Freetown."	
50	I have decided to betray Rolf Erhar and hand him over to Nifuruc and his men. 	He decidido traicionar a Rolf Erhar, y entregárselo a Nifuruc y sus esbirros.	
52	I betrayed Rolf, he is about to be killed by Nifuruc and his men	He decidido traicionar a Rolf Erhar, y entregárselo a Nifuruc y sus esbirros.	
55	Rolf is dead, I should talk to Nifuruc about it. 	Rolf está muerto, debería hablar con Nifuruc al respecto.	
70	I challenged Nifuruc and his thugs in Freetown, and now must fight them.	He desafiado a Nifuruc y sus matones en Freetown, y ahora debo luchar con ellos.	
80	"I convinced Nifuruc and his thugs to leave Rolf Erhar alone; now I should report back to him, in the Seventh House guildhouse in Freetown."	"He convencido a Nifuruc y sus esbirros de que dejen en paz a Rolf Erhar; ahora debería regresar a decírselo. Se encuentra en el gremio de los ladrones en Freetown."	
90	"I killed Nifuruc and his thugs; now I should report back to Rolf, in the Seventh House guildhouse in Freetown."	"He acabado con Nifuruc y sus esbirros; ahora debería decírselo a Rolf. Se encuentra en el gremio de los ladrones en Freetown."	
100	I helped Rolf Erhar to get rid of his angry gang.	Ayudé a Rolf Erhar a librarse de su antigua banda.	
110	I took revenge on Rolf Erhar, selling him out to Nifuruc.	Me vengué de Rolf Erhar, entregándole a Nifuruc.	
