progress	description	description_ES	actions
0	Last Honors	po	
10	Ryurger asked me to find and destroy the zombie priests who roam in the Coal Quarry or neighboring areas, perhaps one of the locals will tell you their exact location.	po.	
15	The captain at the port of Istril suggested that I ask about the zombie priests in the tavern of Istril.	po.	
20	The tavern owner said that at the northern checkpoint in the Coal Quarry, someone knows about the location of the zombie priests.	po.	
30	The sergeant of the northern checkpoint said that the zombie priests should be searched in the Royal Forest near the old royal castle.	po.	
40	Dorothy from the settlement in the Royal Forest reported that the zombie priests should be searched near the old royal castle in the north.	po.	
50	I have destroyed the zombie priests, it is necessary to take some proof from them.	po.	
60	I have destroyed the zombie priests, it is necessary to return to Ryurger and report this.	po.	
70	The high priest of the temple of Rigordion is ready to reward me for my help.	po.	
100	I helped Ryurger destroy the zombie priests.	po.	
