progress	description	description_ES	actions
0	Lucrative Undertaking	po	
10	In Rigordion I met Agnius Northson, who offered to become a partner in his undertaking, but I refused.	po.	
20	In Rigordion, I met Agnius Northson, who offered to become a partner in his undertaking, I agreed, first we need to get 10 bear skins.	po.	
30	I have to come to an agreement with the blacksmith Hilt on the account of iron for our enterprise with Agnius.	po.	
40	The blacksmith Hilt agreed to provide the iron if I killed the bad people he contacted. He made an appointment to meet him at night at the southern wall of the city.	po.	
50	I killed the scoundrels who blackmailed the blacksmith Hilt, now it is necessary to inform him about it.	po.	
60	The blacksmith Hilt has engaged in the supply of iron for the enterprise, it is necessary to inform Agnius about this.	po.	
70	It is necessary to get 15 more bear skins for our undertaking with Agnius.	po.	
80	Agnius offered to hire three hunters who would supply us with skins, now it remains only to find someone who would agree to do this.	po.	
81	Agnius offered to hire three hunters who would supply us with skins, I've already found one, there are two left.	po.	
82	Agnius offered to hire three hunters who would supply us with skins, I've already found two, there's still one left.	po.	
83	Agnius offered to hire three hunters who would supply us with skins, I found three, now I can report it to Agnius.	po.	
100	Our undertaking with Agnius started working, the first customers appeared! Revenue can be received every day.	po.	
