progress	description	description_ES	actions
0	Midnight Bear.	po	
10	Captain Whitewater informed me about the reward for catching the man-eating bear, and I can find out about the animal's location from the local old hunter.	po.	
20	The hunter said that the man-eating bear should be searched at night in the forests of the Lannegar Valley, possibly by the road.	po.	
30	The man-eating bear actually turned out to be a robber in a bear costume! I have to deal with him and take the suit's head as a trophy.	po.	
40	The man-eating bear actually turned out to be a robber in a bear costume! I took the suit's head as a trophy, and I need to get back to Captain Whitewater.	po.	
45	The man-eating bear actually turned out to be a robber in a bear costume! I took the suit's head as a trophy, and I need to get back to Captain Whitewater.	po.	
50	An old hunter attacked me, wanting to take the trophy for himself, I have to deal with him.	po.	
60	I was attacked by a real bear! I have to defeat him, or he'll kill me!	po.	
70	I'm going to take the real bear's head as a trophy, and I need to get back to Captain Whitewater.	po.	
100	I secured the road to Lanneger by getting rid of the fake bear and the real man-eating bear.	po.	
