progress	description	description_ES	actions
0	Orcish Adversity	po	
10	Praetor Nazira asked me to find and eliminate the orcish scouts, I refused to help her.	po.	
15	Praetor Nazira asked me to find and eliminate the orcish scouts, and I agreed to help her. I can find them in the swamp or near the mountains.	po.	
16	I've eliminated one of the ork scouts, and there are four more left.	po.	
17	I've eliminated two orcish scouts, and there are three more left.	po.	
18	I've eliminated three orcish scouts, and there are two more left.	po.	
19	I've eliminated four orcish scouts, and there's still one left.	po.	
20	I have eliminated all orcish scouts, and it is necessary to inform sergeant Killett at the southern outpost.	po.	
25	The outpost was attacked by a group of orcs! I have to help the legionnaires repel the attack.	po.	
30	I helped repel the ork attack, and now I need to talk to sergeant Killett.	po.	
35	I helped repel the orc attack on the southern outpost and eliminated all orcish scouts, it is necessary to inform praetor Nazira in Liberty about this.	po.	
100	I helped Praetor Nazira deal with the orcs, but it's unlikely for good, they'll probably come back again.	po.	
