progress	description	description_ES	actions
0	The Prodigal Daughter	La Hija Pródiga	
10	The Undermother, in the caves of Northern Bluemist, has asked me to find and destroy one of her strongest daughters: a Mirmek Queen called Zuz'sare. She assured me the young Queen ate a shard of the [BLUE]eye of Tol[] and keeps it inside her belly. Unfortunately, she fled the Great Nest and she has no clues about her whereabouts.	La Inframadre, en las cavernas de Bluemist Norte, me ha pedido que encuentre y destruya a una de sus mas poderosas hijas: una Reina Mirmek llamada Zuz'sare. Me asegura que la joven reina devoró un fragmento del [BLUE]ojo de Tol[] que aun sigue en su interior. Por desgracia, desde que huyó del gran nido, no sabe nada de su paradero.	
20	I've heard a rumor that might be about Zuz'sare, the fugitive Mirmek the Undermother wants dead. A giant insect enveloped in flames appeared months ago, devastating the woods and then hiding into a cave at Iross Highlands, north of Föga. 	He oido un rumor que podría ser acerca de Zuz'sare,  la Mirmek fugitiva que la Inframadre quiere destruir. Un insecto gigante apareció envuelto en llamas destruyendo los bosques, antes de esconderse en una cueva. Esto ocurrió en las Tierras Altas de Iross, al norte de Föga.	
30	The Undermother wants me to kill a fugitive Mirmek called Zuz'sare, and I'm following a lead towards a cave at Iross Highlands. Maybe I am late, as the locals tell a story about a woman they call the Flame Prophet getting rid of the Beast.	La Inframadre quiere que destruya a una Mirmek fugitiva llamada Zuz'sare, y estoy siguiendo una pista hacia una cueva en las Tierras Altas de Iross. Pero puede que sea tarde: la gente cuenta que una mujer que llaman la Profeta de la Llama se ha librado de la bestia.	
40	The Undermother wants me to kill a fugitive Mirmek called Zuz'sare, and I'm following a lead towards a cave at Iross Highlands. I followed the scorched trail but a woman called the Flame Prophet seems to have got rid of the Beast.	La Inframadre quiere que destruya a una Mirmek fugitiva llamada Zuz'sare, y estoy siguiendo una pista hacia una cueva en las Tierras Altas de Iross. Seguí el rastro del fuego, pero parece que una mujer llamada  la Profeta de la Llama se ha librado de la bestia.	
50	Zuz'sare has transformed permanently into a human, and is known as the Flame Prophet. I agreed with her plan to destroy the Undermother. If I bring her [BLUE]3 Vorator Eggs[] she can prepare me a charm that can weaken her. 	Zuz'sare se ha transformado permanentemente en humana, y he acordado con ella destruir a la Inframadre. Si le llevo [BLUE]3 Huevos de Vorator[] puede prepararme un encantamiento que la debilite.	
60	Zuz'sare has transformed permanently into a human, and is known as the Flame Prophet. I agreed with her plan to destroy the Undermother. She prepared for me a charm that can weaken her. 	Zuz'sare se ha transformado permanentemente en humana, y he acordado con ella destruir a la Inframadre. Me ha preparado un encantamiento que la debilitará.	
70	I decided to fight the Flame Prophet, in the cave in Iross Highlands. She happens to be the Mirmek Zuz'sare, transformed permanently into a human.	He decidido luchar contra la Profeta de la Llama, en la cueva de las Tierras Altas de Iross. Resultó ser la Mirmek Zuz'sare, transformada permanentemente en humana.	
80	I killed Zuz'sare, I should go and tell the Undermother about it. She is in her lair in Northern Bluemist.	He matado a Zuz'sare. Debería decírselo a la Inframadre, en su cueva de Rio Bluemist Norte.	
90	I confronted the Undermother herself!	Me he enfrentado con la Inframadre!	
100	I destroyed Zuz'sare for the Undermother.	He destruido a Zuz'sare para la Inframadre	
110	I destroyed the infamous Undermother.	He destruido a la temible Inframadre.	
