progress	description	description_ES	actions
0	A Saving Escape	po	
10	Wanda from the village near the Dawn Lake asked me to find a missing resident in the forests of this location or the Kalion Ridge.	po.	
20	I to deal with the bandits holding the missing villager.	po.	
30	I need to calm down a missing villager.	po.	
40	I need to get the missing resident to the village by the Dawn Lake.	po.	
90	I to deal with the people of the cannibal village.	po.	
91	I to deal with the people of the cannibal village.	po.	
92	I to deal with the people of the cannibal village.	po.	
93	I to deal with the people of the cannibal village.	po.	
94	I to deal with the people of the cannibal village.	po.	
95	I to deal with the people of the cannibal village.	po.	
96	I to deal with the people of the cannibal village.	po.	
97	I to deal with the people of the cannibal village.	po.	
98	I to deal with the people of the cannibal village.	po.	
99	I to deal with the people of the cannibal village.	po.	
100	I helped the missing resident return to the village by the Dawn Lake.	po.	
110	The villagers at the Dawn Lake turned out to be cannibals! But I've arranged to keep their secret.	po.	
120	The villagers at the Dawn Lake turned out to be cannibals! They taught me the ritual of their ancestors.	po.	
130	I've dealt with the cannibals from the village by the Dawn Lake.	po.	
