progress	description	description_ES	actions
0	Simple Choice	po	
10	I met disciple Hank, who told me about the missing detachment from Rigordian, I agreed to help him find them, first you need to explore an abandoned mine in the north of a Coal quarry.	po.	
20	In an abandoned mine, I came across a dying warrior priest, he asked me to find his surviving associates, I agreed to help him.	po.	
30	I found one of the surviving associates of the warrior priest, I have to help him fight off the attacking undead.	po.	
40	Senior disciple Peter asked me to help him get to another associates warrior-priest - priest Morgen, for this I must destroy three totems in the mine to free the way to him from the magic field.	po.	
41	I found and destroyed one of the three protective totems.	po.	
42	I found and destroyed two of the three protective totems.	po.	
43	I found and destroyed all the protective totems, now I need to talk to Peter so that he removes the weakened magic field.	po.	
50	Peter has removed the magic field, now you need to get to the priest of Morgen.	po.	
60	I must defeat the priest Morgen and the witch to whom he has sworn allegiance.	po.	
70	I managed to defeat Morgen and the witch, now I need to talk to Peter.	po.	
100	I helped senior disciple Peter defeat a traitor and an evil witch.	po.	
110	I helped senior disciple Peter defeat a traitor and an evil witch, the high priest Gideon rewarded me.	po.	
