progress	description	description_ES	actions
0	Temple of the Sleepers	El Templo de los Durmientes	
10	In the City of the Ancients I heard about a place called the Temple of the Sleepers. I have no idea where it might be located, but according to the Golem Trader I could find more details in the palace's library. Maybe that's the place where I can find Azeran, if it is related to the Purple Medallion.	En la Ciudad de los Ancianos oi hablar de un lugar llamado Templo de los Durmientes. No sé dónde puede estar, pero el Golem comerciante dice que puedo averiguar más en la biblioteca del palacio. Quizá en ese lugar pueda encontrar a Azeran, ya que tiene alguna relación con el Medallón Morado.	
20	While exploring the City of the Ancients I found a passage in an old book that mentions the Temple. Unfortunately its location is not clear, but it mentions that it can't be entered without a Purple Medallion and a special prayer. However the prayer's page has been torn. Maybe it's still around.	Mientras exploraba la Ciudad de los Ancianos, encontré un pasaje en un viejo libro que menciona el Templo. Su ubicación no está clara, pero menciona que no se puede entrar sin un Medallón Morado y una oración especial. Sin embargo, la página de la oración está arrancada. Quizá no esté muy lejos.	
30	I found the torn page and learned the prayer: 'Five Sleepers under the Mountain shield us from all evil, may their slumber and peace be eternal'. This must be recited to access the Temple of the Sleepers, while holding a Purple Medallion. Unfortunately I still don't know where the temple is located.	Encontré la página rasgada y aprendí la oración: 'Cinco Durmientes bajo la Montaña nos protegen de todo mal, que su sueño y su paz sean eternos'. Esto debe recitarse para acceder al Templo de los Durmientes, mientras sostiene un Medallón Morado. Pero todavía no sé dónde se encuentra el templo.	
40	I found the torn page and learned the prayer: 'Five Sleepers under the Mountain shield us from all evil, may their slumber and peace be eternal'. This must be spoken to access the Temple of the Sleepers, while holding a Purple Medallion. I found a clue about its location: a jungle valley with a river encircled by mountains. It must be some remote area to the far south.	Encontré la página rasgada y aprendí la oración: 'Cinco Durmientes bajo la Montaña nos protegen de todo mal, que su sueño y su paz sean eternos'. Esto debe recitarse para acceder al Templo de los Durmientes, mientras sostiene un Medallón Morado. Encontré una pista sobre su ubicación: un vale de jungla con un gran rio, rodeado de montañas. Seguramente se trate de algún lugar lejano en el sur.	
50	I gained access to the Temple of the Sleepers, in the Gorge of the Silent Kings. The medallion I had was consumed, so if I ever find another blue-barrier gate I may need another medallion to go through it.	He conseguido entrar en el Templo de los durmientes, localizado en la Garganta de los Reyes Silenciosos. El medallón se consumió, así que si necesito cruzar otra puerta con barrera azul podría necesitar otro medallón.	
60	I found a deep pit blocking my way into the tomb; to cross it I need to activate its bridge somehow. I wonder if Azeran managed to cross this pit.	He encontrado un abismo, para cruzarlo necesito activar un puente de alguna forma. Me pregunto si Azerán ya está en el otro lado.	
70	I crossed the pit. My way back is now blocked! I can only go forward and maybe take revenge on Azeran for fooling me and killing Thalassos.	He cruzado el abismo, sólo puedo seguir hacia delante. Espero poder vengarme de Azeran por su engaño y por lo que hizo a Thalassos.	
80	I met Azeran and confronted him in the deepest of the Temple.	Encontré a Azerán y le desafié en lo más profundo del Templo.	
90	I don't know what Azeran was planning to do, but I defeated him before he could finish. I wonder what... or who is in that sarcophagus.	No estoy seguro de qué planeaba hacer Azeran pero se lo he impedido. Me pregunto qué... o quién está en ese sarcófago.	
100	The Sleeper is safe now. His power defies imagination; is he a God? I'll probably never know, but there were originally five Sleepers, and the others are no more. I believe Azeran was trying to absorb his power and maybe become a God himself, but luckily I stopped him in the nick of time.	El Durmiente está a salvo. Su poder desafía la imaginación; ¿Es un Dios? Probablemente nunca lo sabré, pero originalmente había cinco Durmientes y los demás ya no existen. Creo que Azeran estaba tratando de absorber su poder y tal vez convertirse él mismo en un Dios, pero afortunadamente lo detuve en el último momento.	
