progress	description	description_ES	actions
0	Unsurpassed Craftsmanship	po	
10	A wizard from Istril asked me to help him with a search, but I refused.	po.	
15	A wizard from Istril asked me to help him find a unique Myrosian armor, but I refused.	po.	
20	A wizard from Istril asked me to help him find a unique Myrosian armor, I agreed. First I need to collect the fragments of the magic map, to do this I need to find and explore the ancient ruins in the wild places within the Sorrowland.	po.	
21	I found one of the fragments of a magic map.	po.	
22	I found two fragments of a magic map.	po.	
23	I found three fragments of a magic map.	po.	
24	I found four fragments of a magic map.	po.	
25	I found five fragments of a magic map.	po.	
40	The magic map has been restored, and now I need to find a cache in one of the ruins where I found the fragments of the map.	po.	
50	I need to defeat the guardian of the cache in order to obtain the unique Myrosian armor.	po.	
60	I managed to get my hands on a unique Myrosian armor, and now I need to return to the wizard in Istril to show him my find.	po.	
90	I refused to give the wizard the unique Myrosian armor, and he got very angry. Now I have to deal with him.	po.	
100	I helped a wizard from Istril get a unique Myrosian armor, and he rewarded me.	po.	
110	I was able to obtain a unique Myrosian armor.	po.	
