progress	description	description_ES	actions
0	A mysterious letter	Una carta misteriosa	
5	I received a mysterious letter from Magistrate Odo Steinz in the city of [BLUE]New Garand[]. It summons me to receive an important inheritance.	He recibido una carta del magistrado Otto Steinz en la ciudad de [BLUE]New Garand[]. Debo presentarme a él para cobrar una importante herencia.	
10	I received a mysterious letter from Magistrate Odo Steinz in the city of [BLUE]New Garand[]. It summons me to receive an inheritance, but a thief called [BLUE]Adaon[] stole the letter from me.	He recibido una carta del magistrado Otto Steinz en la ciudad de [BLUE]New Garand[]. Debo presentarme a él para cobrar una herencia, pero un granuja llamado [BLUE]Adaon[] me ha robado la carta.	
20	Adaon has been in Kingsbridge, and he still has the letter he stole from me. He seems to be spending my money happily... And fast. I should find him in [BLUE]New Garand[] before he grabs my inheritance and disappears. I should find Magistrate Steinz's house in [BLUE]New Garand[] before he does.	Adaon ha estado en Kingsbridge, y aun conserva la carta que me robó. Parece que está pasándolo en grande gastando mi dinero. Debería ir a [BLUE]New Garand[] a encontrarle, antes de que cobre mi herencia y desaparezca. Seguramente haya ido a la casa del magistrado Otto Steinz en [BLUE]New Garand[]	
22	That damn Adaon is already in New Garand and probably trying to get my money. I should find Magistrate Odo Steinz before he does. But, where? It is a very big town. I was told to ask for directions.	Ese maldito Adaon está en New Garand, posiblemente intentando cobrar mi herencia. Debo apresurarme y encontrar al magistrado Oto Steinz antes que él. Pero ¿dónde? Es una ciudad enorme. Debería preguntar.	
30	I finally learned where is the house of the Magistrate. It is on the East side of town, a large manor, near the north wall. I hope Adaon hasn't got my money yet!	Finalmente he averiguado dónde está la casa del Magistrado. Está en el lado Este de la ciudad, en una mansión pegada al muro norte. ¡Espero que Adaon no haya cobrado mi herencia aun!	
40	It's a trap! I was captured and stripped of all my equipment. I have no idea where I am...	¡Es una trampa! Me han capturado y quitado todo mi equipo. No tengo ni idea de dónde estoy...	
50	Thanks to Amarisa the Traveller I escaped my cell, but I am still in an unknown and dangerous place.	Gracias a Amarisa la Viajera escapé de mi celda, pero aun estoy en un lugar peligroso y desconocido.	
60	I found Adaon, that damn thief. I am not sure if I can trust him at all, but he says the cell to his cage is in the room to the west.	He encontrado a Adaon, ese maldito ladrón. Aun no sé si puedo confiar en él, pero dice que la llave de su jaula está en la habitación al oeste.	
70	I decided to free Adaon. Maybe he can be useful to me,a fter all.	He decidido liberar a Adaon. Quizá pueda serme útil, al fin y al cabo.	
77	I am close to escape the cultists, but they appear to have a leader that won't make it easy for me.	Por fín parece que estoy cerca de la salida, pero parece que estos cultistas tienen un lider que no me lo va a poner fácil.	
80	I defeated their leader . The name of this cruel organization is The Forsaken, and they're ruled by the Magister, which probably is the man who drugged me. I wonder if he's still in the Magistrate's house...	He derrotado a su jefe, y encontrado la salida de esta mazmorra. El nombre de esta organización es Los Olvidados, y llaman a su líder Maestro. Creo que es el individuo que me drogó. Me pregunto si aun sigue en la casa del Magistrado...	
90	I found my way out of the dungeon, through the city sewers. Adaon has left, but I can have him to join my party in the future. Now, I wonder if that 'Magister' is still in the Magistrate's house...	Encontré la salida de la mazmorra a través de las alcantarillas. Adaon se ha marchado de momento, pero más adelante puede volver a unirse a mi grupo. Y me pregunto si ese 'Maestro' aún sigue en la casa del Magistrado...	
100	The inheritance was not at all what I expected. I was captured by The Forsaken but I escaped. There was a key magically hidden in the magistrate's house, which only appeared when I approached. 	La herencia no era lo que esperaba. Fui capturado por Los Olvidados pero escapé. Había una llave escondida mágicamente en la casa del Magistrado, que apareció cuando me acerqué.	
