item_ID	name	type	weaponstats	armor	resistances	traitBonus	attributes	value	icon	hp	mana	damage_bonus	damage_bonus_type	proc_type	proc_chance	proc_level	sprite	OnTake	OnTakeConditions	OnUse	Manacost	Requisites	Classes	stack
100	Leather Cuirass	armor_chest		1				100	armor_leather_chest1	3	0						leather							
101	Leather Leggings	armor_legs		1				80	armor_leather_legs1	3	0													
102	Leather Bracers	armor_arms		0				30	armor_leather_hands1	2	0													
103	Leather Boots	armor_feet		1				75	armor_leather_feet1	0	0													
104	Leather Cap	armor_head		0				25	armor_leather_head1	2	0													
105	Hardened Leather Cuirass	armor_chest		2				300	armor_leather_chest2	5	0						leather						W,R,C	
106	Hardened Leather Leggings	armor_legs		1				250	armor_leather_legs2	7	0												W,R,C	
107	Hardened Leather Gauntlets	armor_arms		1				110	armor_leather_hands2	2	0												W,R,C	
108	Hardened Leather Boots	armor_feet		1				160	armor_leather_feet2	3	0												W,R,C	
109	Hardened Leather Cap	armor_head		0				100	armor_leather_head2	4	0						leather						W,R,C	
110	Chainmail Shirt	armor_chest		2				750	armor_chain_chest	11	0						mail						W,C	
111	Chainmail Leggings	armor_legs		2				700	armor_chain_legs	8	0												W,C	
112	Chainmail Gauntlets	armor_arms		2				650	armor_chain_hands	5	0												W,C	
113	Chainmail Boots	armor_feet		2				800	armor_chain_feet	5	0												W,C	
114	Chainmail Coif	armor_head		1				700	armor_chain_head	4	0						chain						W,C	
115	Platemail Vest	armor_chest		3				2300	armor_plate_chest	15	0						plate						W	
116	Platemail Leggings	armor_legs		3				2000	armor_plate_legs	13	0												W	
117	Platemail Gauntlets	armor_arms		2				1600	armor_plate_hands	8	0												W	
118	Platemail Boots	armor_feet		3				1800	armor_plate_feet	5	0												W	
119	Knight Helm	armor_head		2				1700	armor_plate_head	4	0						chain						W	
120	Buckler	SHIELD		1			[shield]	100	armor_buckler	3	0						buckler							
121	Iron Shield	SHIELD		2			[shield]	800	armor_shield_round	5	0						shield2						W,C	
122	Forest Chain Shirt	armor_chest		2				1100	armor_chain_chest_g	6	0						mail						W,R	
123	Forest Chain Leggings	armor_legs		2				1000	armor_chain_legs_g	6	0												W,R	
124	Forest Chain Gauntlets	armor_arms		2				900	armor_chain_hands_g	2	0												W,R	
125	Forest Chain Boots	armor_feet		1				800	armor_chain_feet_g	6	0												W,R	
126	Forest Chain Coif	armor_head		1				950	armor_chain_head_g	4	0						chain						W,R	
127	Blessed Chain Shirt	armor_chest		2				1400	armor_chain_chest_b	6	3						mail						C	
128	Blessed Chain Leggings	armor_legs		2				1700	armor_chain_legs_b	6	2												C	
129	Blessed Chain Gauntlets	armor_arms		2				1300	armor_chain_hands_b	2	2												C	
130	Blessed Chain Boots	armor_feet		1				1200	armor_chain_feet_b	6	1												C	
131	Blessed Chain Coif	armor_head		1			[wisdom,1]	2000	armor_chain_head_b	4	2						chain						C	
132	Trollskin Cuirass	armor_chest		2	0,0,0,0,40,0			2400	armor_leather_chest_green	5	0						leather							
133	Trollskin Leggings	armor_legs		2	0,0,0,0,40,0			2300	armor_leather_legs_green	5	0													
134	Trollskin Gauntlets	armor_arms		1	0,0,0,0,40,0			1500	armor_leather_hands_green	2	0													
135	Trollskin Boots	armor_feet		1	0,0,0,0,40,0			1500	armor_leather_feet_green	2	0													
136	Trollskin Cap	armor_head		1	0,0,0,0,40,0			1500	armor_leather_head_green	2	0						leather							
137	Tolassian Chain Shirt	armor_chest		3	0,0,0,10,0,0			2000	armor_chain_chest_red	7	0						mail						W,R,C	
138	Tolassian Chain Leggings	armor_legs		2	0,0,0,9,0,0			1600	armor_chain_legs_red	8	0												W,R,C	
139	Tolassian Chain Gauntlets	armor_arms		2	0,0,0,8,0,0			1200	armor_chain_hands_red	6	0												W,R,C	
140	Tolassian Chain Boots	armor_feet		2	0,0,0,6,0,0			1000	armor_chain_feet_red	4	0												W,R,C	
141	Tolassian Chain Coif	armor_head		2	0,0,0,5,0,0			1100	armor_chain_head_red	4	0												W,R,C	
142	Blessed Platemail Vest	armor_chest		3				8600	armor_plate_chest_blue	9	4						plate						C	
143	Blessed Platemail Leggings	armor_legs		3				7500	armor_plate_legs_blue	6	4												C	
144	Blessed Platemail Gauntlets	armor_arms		2				4900	armor_plate_hands_blue	8	3												C	
145	Blessed Platemail Boots	armor_feet		2				4600	armor_plate_feet_blue	6	2												C	
146	Assassin's Cuirass	armor_chest		4	6,0,0,0,6,0			1700	armor_leather_chest2	6	0						leather						R	
147	Assassin's Leggings	armor_legs		3	0,6,0,0,6,0			1500	armor_leather_legs2	6	0												R	
148	Assassin's Gauntlets	armor_arms		2	3,0,0,0,5,0		[tinkering,2]	1100	armor_leather_hands2	6	0												R	
149	Assassin's Boots	armor_feet		2	0,5,0,0,5,0			1200	armor_leather_feet2	5	0												R	
150	Assassin's Hood	armor_head		2	0,0,0,0,5,0		[gossip,1]	1200	armor_leather_head2	6	0						hood						R	
151	Legion Breastplate	armor_chest		4	7,7,0,0,0,0			11000	armor_plate_chest_yellow	9	0						plate						W	
152	Legion Leggings	armor_legs		4	5,5,0,0,0,0			8900	armor_plate_legs_yellow	7	0												W	
153	Legion Gauntlets	armor_arms		3	4,4,0,0,0,0			6000	armor_plate_hands_yellow	4	0												W	
154	Legion Boots	armor_feet		4	4,4,0,0,0,0			6500	armor_plate_feet_yellow	2	0												W	
155	Legion Helm	armor_head		3	4,4,0,0,0,0			7000	armor_plate_head_yellow	3	0						plate						W	
156	Velites Chain Shirt	armor_chest		3				4200	armor_chain_chest_g	11	0						mail						W,R	
157	Velites Chain Leggings	armor_legs		2				3900	armor_chain_legs_g	11	0												W,R	
158	Velites Chain Gauntlets	armor_arms		2				2200	armor_chain_hands_g	8	0												W,R	
159	Velites Chain Boots	armor_feet		2				2500	armor_chain_feet_g	6	0												W,R	
160	Velites Chain Coif	armor_head		2				2100	armor_chain_head_g	6	0						chain						W,R	
161	Blessed Platemail Helm	armor_head		2			[wisdom,1]	4600	armor_plate_head_blue	5	3						plate						C	
162	Myrosian Breastplate	armor_chest		5	0,0,16,0,0,4			16000	armor_plate_chest_epic	15	0						purple_plate						W	
163	Primal Ice Chain Shirt	armor_chest		4	"""-12,12,0,0,0,0"""			2000	armor_chain_chest_b	6	0						mail						W,R,C	
164	Primal Ice Chain Leggings	armor_legs		3	"""-10,10,0,0,0,0"""			1600	armor_chain_legs_b	6	0												W,R,C	
165	Primal Ice Chain Gauntlets	armor_arms		3	"""-10,6,0,0,0,0"""			1200	armor_chain_hands_b	4	0												W,R,C	
166	Primal Ice Chain Boots	armor_feet		3	"""-10,6,0,0,0,0"""			1000	armor_chain_feet_b	3	0												W,R,C	
167	Primal Ice Chain Coif	armor_head		3	"""-10,6,0,0,0,0"""			1100	armor_chain_head_b	3	0						chain						W,R,C	
168	Myrosian Gauntlets	armor_arms		3	0,0,7,0,0,2			6000	armor_plate_hands_epic	9	0												W	
169	Myrosian Leggings	armor_legs		5	0,0,9,0,0,4			13000	armor_plate_legs_epic	13	0												W	
170	Myrosian Boots	armor_feet		4	0,0,5,0,0,5			6000	armor_plate_feet_epic	8	0												W	
171	Myrosian Helm	armor_head		4	0,0,7,0,0,2			6000	armor_plate_head_epic	9	0						purple_plate						W	
172	Traitor's Chain Shirt	armor_chest		4	"""-5,0,0,0,0,-5"""			2000	armor_chain_chest_b	6	0						mail						W,R,C	
173	Traitor's Chain Leggings	armor_legs		3	"""-5,0,0,0,0,-5"""			1600	armor_chain_legs_b	6	0												W,R,C	
174	Traitor's Chain Gauntlets	armor_arms		3	"""0,0,0,0,0,-5"""			1200	armor_chain_hands_b	4	0												W,R,C	
175	Traitor's Chain Boots	armor_feet		3	"""0,0,0,0,0,-5"""			1000	armor_chain_feet_b	3	0												W,R,C	
176	Traitor's Chain Coif	armor_head		3	"""0,0,0,0,0,-5"""			1100	armor_chain_head_b	3	0						chain						W,R,C	
177	Leggings of Shadows	armor_legs		4	15,0,15,0,0,0			1600	armor_chain_legs	9	0												W,R,C	
180	Shield of the Forge	SHIELD		2	9,0,0,0,0,0		[shield]	1200	armor_shield_round	4	0						shield2						W,C	
181	Shield of the Storm	SHIELD		2	0,0,13,0,0,0		[shield]	1200	armor_shield_round2	4	0						shield2						W,C	
182	Charred Buckler	SHIELD		1	8,0,0,0,0,0		[shield]	500	armor_buckler_red	8	0						buckler							
183	Lesser Shield of Life	SHIELD		2	0,0,0,9,0,0		[shield]	500	armor_shield	0	0						shield						W,C	
184	Steel Shield	SHIELD		3			[shield]	1300	armor_shield	7	0						shield						W	
185	Hero's Shield	SHIELD		3			[gossip,2][shield]	3000	armor_shield	8	0						shield						W,C	
186	Petrified Wood Buckler	SHIELD		2	12,0,0,12,0,0		[shield]	3000	armor_buckler	8	0						buckler							
187	Shield of Life	SHIELD		3	0,0,0,9,0,10		[shield]	4000	armor_shield	0	0						shield						W,C	
188	Red Leather Buckler	SHIELD		2	20,0,0,0,0,0		[shield]	1500	armor_buckler_red	8	0						buckler							
189	Red Leather Shield	SHIELD		3	20,0,0,0,0,0		[shield]	1800	armor_shield_round3	11	0						shield2						W,C	
190	Large Chitin Shield	SHIELD		3	0,0,0,0,9,18		[shield]	4400	armor_shield_scales	0	0						shield2						W,C,R	
191	Scutum	SHIELD		4			[shield]	3000	armor_shield	10	0						shield						W	
192	Chitin Shield	SHIELD		2	0,0,0,0,5,18		[shield]	4400	armor_shield_scales	0	0						shield2						W,C,R	
193	Anointed Shield	SHIELD		2	0,0,0,0,0,10		[shield]	1500	armor_shield	6	0						shield						W,C	
194	Infernal Aegis	SHIELD		4	20,0,0,0,0,0		[shield]	5000	armor_shield	12	0						shield						W	
195	Sailor Buckler	SHIELD		2	0,10,0,0,0,0		[shield]	1500	buckler_steel	7	0						buckler							
196	Shield of the Dragon Hunter	SHIELD		5	25,25,0,0,0,0		[shield][gossip,2]	5000	armor_shield	12	0						shield						W	
197	Wisdom of the Seas	SHIELD		3	0,25,0,0,0,0	0,0,0,1,0,0	[shield][wisdom,2]	5000	buckler_steel	12	0						buckler							
198	Enchanted Scutum	SHIELD		5			[shield]	5000	armor_shield	14	0						shield						W,C	
201	Goblin Flesh-Cutter	WEAPON	goblin_fleshcutter	0				25	weapon_dagger4	0	0						dagger						R	
202	Goblin Lizardskin Boots	armor_feet		0	20,0,0,0,0,0			70	armor_boots_fire	3	0													
203	Thief's Blade	WEAPON	thief_blade	0				300	weapon_dagger3	0	0						shortsword						R	
204	Sharp Orc Knife	WEAPON	orc_knife	0			[vicious,1]	180	weapon_dagger3	0	0						dagger						R	
205	Bone Shiv	WEAPON	iron_dagger	0				20	weapon_dagger4	0	0						dagger						R	
206	Varaol's Boots	armor_feet		2	0,6,6,0,0,0			4000	armor_plate_feet	0	0												W,C	
207	Lionskin Cuirass	armor_chest		3	10,0,0,0,0,0			3000	armor_leather_chest2	6	0						leather							
208	Mystic Vest	armor_chest		1	0,0,15,0,0,0			1500	armor_leather_chest1	5	4						leather						C,M	
209	Breastplate of the Forge	armor_chest		3	20,0,0,0,0,0			9000	armor_plate_chest	15	0						plate						W	
210	Cowl of Fellowship	armor_head		1			[gossip,1]	600	armor_leather_head3	4	0												W,R,C	
211	Troll Cleaver	WEAPON	tier4_shortsword_toxic	0			[vicious,1]	500	weapon_cleaver	0	0						dagger						R	
212	Heroic Helm	armor_head		3	5,5,5,0,0,0			7000	armor_plate_head	7	0						plate						W,C	
213	Lionskin Leggings	armor_legs		3	0,0,10,0,0,0			2700	armor_leather_legs2	4	0													
214	Boots of Balance	armor_feet		1			[stability]	2400	armor_chain_feet_g	5	0													
215	Ironfoot Boots	armor_feet		3	12,0,0,0,0,8		[stability]	5000	armor_plate_feet_magic	0	0													
216	Sharkskin Boots	armor_feet		2	0,9,0,0,0,6			1000	armor_chain_feet_b	4	0													
217	Ruined Dragoon Boots	armor_feet		2	30,0,0,0,0,0			1000	armor_leather_feet_red	4	0													
218	The Undermother's Hide	armor_chest		5	0,0,0,10,0,10			10000	carapace2	10	0						leather							
219	Anointed Cuirass	armor_chest		1	0,0,0,25,0,0			500	armor_leather_chest1	5	0						leather						W,R,C	
220	Jungle Boots	armor_feet		2	0,0,0,0,25,0			1900	armor_leather_feet_green	7	0													
221	Holy Helm	armor_head		2	0,0,20,0,0,0		[wisdom,1]	4600	armor_plate_head_blue	8	8						plate						C	
222	Centurion Helm	armor_head		3	0,0,12,0,0,5	0,0,0,0,0,1		7000	armor_plate_head_yellow	6	0						plate						W,C	
232	Thuramiam Breastplate	armor_chest		4	0,20,0,0,0,5			10000	armor_plate_chest_epic	10	10						purple_plate						W,C,M	
233	Thuramiam Plate Gauntlets	armor_arms		3	0,6,0,0,0,3			7000	armor_plate_hands_epic	2	2												W,C,M	
234	Thuramiam Plate Leggings	armor_legs		3	0,12,0,0,0,5			9000	armor_plate_legs_epic	6	6												W,C,M	
235	Thuramiam Plate Boots	armor_feet		2	0,5,0,0,0,2			4000	armor_plate_feet_epic	5	5												W,C,M	
236	Thuramiam Plate Helm	armor_head		2	0,7,0,0,0,5			4000	armor_plate_head_epic	4	4						purple_plate						W,C,M	
240	Gladiator Shield	SHIELD		2			[shield]	10	armor_shield_round	5	0						shield2						W,C	
241	Gladiator Cuirass	armor_chest		1				10	armor_leather_chest1	3	0						leather							
242	Gladiator Buckler	SHIELD		1			[shield]	10	armor_buckler	3	0						buckler							
243	Gladiator  Chainmail Shirt	armor_chest		2				10	armor_chain_chest	11	0						mail						W,C	
244	Gladiator  Hardened Leather Cap	armor_head		0				10	armor_leather_head2	4	0						leather						W,R,C	
245	Gladiator  Leather Boots	armor_feet		1				10	armor_leather_feet1	0	0													
246	Gladiator Leather Leggings	armor_legs		1				10	armor_leather_legs1	3	0													
250	Ashen Chestplate	armor_chest		6	20,0,0,0,0,8			20000	armor_plate_chest_black	15	9						plate						W,C	
251	Ashen Gauntlets	armor_arms		3	0,0,15,0,0,4			6000	armor_plate_hands_black	9	6												W,C	
252	Ashen Leggings	armor_legs		5	0,0,11,0,0,4			13000	armor_plate_legs_black	13	5												W,C	
253	Ashen Boots	armor_feet		4	0,0,9,0,0,5		[stability]	6000	armor_plate_feet_black	8	4												W,C	
254	Ashen Helm	armor_head		4	0,0,10,0,0,10		[wisdom,1]	6000	armor_plate_head_black	9	5						plate						W,C	
255	Laminated Vest	armor_chest		7	10,0,20,0,0,0		[stability]	4600	vest3	16	0						plate						W	
256	Kevlar Vest	armor_chest		6	10,0,20,0,0,0			3000	vest2	12	0						mail						W,R,C	
257	Conductive Vest	armor_chest		7	0,0,20,0,0,10		[stunimmunity]	3000	vest1	10	30						plate						C	
258	Goggled Helmet	armor_head		3	0,0,0,9,9,0	0,0,0,0,2,0	[detection,2][rad]	2000	helm1	0	0						chain							
259	Strange Hood	armor_head		2			[rad]	2000	hood_rad	0	0						hood							
260	Plexifiber Robes	armor_chest		4	0,0,20,0,0,10		[stability]	3000	robe_ark	10	45						tunic						M	
261	Hunter's Leggings	armor_legs		3	8,8,0,0,0,0			3000	armor_leather_legs_green	8	0												W,R,C	
262	Jeweled Breastplate	armor_chest		4	15,0,0,0,0,10			30000	armor_plate_chest_epic	15	15						purple_plate						W,C	
263	Hunter's Armor	armor_chest		4	0,0,10,0,0,0			7000	armor_leather_chest_green	20	0						leather						W,R,C	
300	Apprentice Tunic	armor_chest		1				140	robe1_brown	2	4						tunic						C,M	
301	Apprentice Pants	armor_legs		0				110	armor_leather_legs_green	2	3												C,M	
302	Apprentice Hood	armor_head		0				25	armor_leather_head_green	0	2						hood						C,M	
303	Apprentice Gloves	armor_arms		0				110	armor_leather_hands_green	1	2												C,M	
304	Apprentice Boots	armor_feet		0				160	armor_leather_feet_green	1	2												C,M	
305	Journeyman Tunic	armor_chest		1				400	robe1_blue	5	7						tunic_blue						C,M	
306	Journeyman Pants	armor_legs		1				380	armor_leather_legs_blue	3	4												C,M	
307	Journeyman Gloves	armor_arms		0				230	armor_blue_gloves	2	4												C,M	
308	Journeyman Boots	armor_feet		1				200	armor_leather_feet_blue	1	3												C,M	
309	Journeyman Cap	armor_head		0				220	armor_leather_head_blue	0	4						hood						C,M	
310	Conjurer Gloves	armor_arms		1				230	armor_blue_gloves	2	5												C,M	
311	Conjurer Boots	armor_feet		1				200	armor_leather_feet_blue	4	6												C,M	
312	Conjurer Hood	armor_head		1			[detection,1]	220	armor_leather_head_blue	2	5						hood						C,M	
313	Conjurer Pantaloons	armor_legs		2	0,0,5,0,0,0			700	armor_leather_legs_blue	3	5												C,M	
314	Conjurer Tunic	armor_chest		2	5,5,0,0,0,0			800	robe1_blue	5	9						tunic_blue						C,M	
320	Firedancer Robes	armor_chest		1	16,0,0,0,0,0			600	robe1_red	2	8						tunic_red						M	
321	Primzar's Tunic	armor_chest		2	0,0,0,0,0,15			4000	robe2_blue	8	12						tunic_blue						M	
322	Toga of the Theurgist	armor_chest		2	0,0,0,9,0,9			1000	robe1_purple	0	12						tunic_purple						M	
323	Forest Robes	armor_chest		1	0,10,0,0,10,0			600	robe1_green	6	6						tunic_green						M	
324	Arcane Leather Boots	armor_feet		1				800	armor_leather_feet_blue	4	3												M	
325	Arcane Leather Doublet	armor_chest		3	0,0,0,0,0,5			1800	armor_leather_chest1	4	4						leather						M	
326	Nature's Robes	armor_chest		1	0,0,0,0,10,0			300	robe1_brown	3	6						tunic						C,M	
327	Shaman Boots	armor_feet		2	20,0,0,0,0,0			800	armor_boots_fire	0	4												C,M	
328	Caretaker Tunic	armor_chest		2	0,0,0,0,0,15			1000	robe1_purple	5	10						tunic_purple						M	
329	Mystic Sandals	armor_feet		1	0,0,0,0,12,0			800	sandals	2	6												C,M	
330	Sandals of the Saint	armor_feet		2	0,0,0,15,0,15			800	sandals2	0	12												C,M	
331	Witch's Robes	armor_chest		2				1000	robe1_purple	5	10						tunic_purple						M	
332	High Mage Robes	armor_chest		3	10,0,0,0,0,0			1300	robe2_red	6	15						tunic_red						M	
333	Sorceress' Sandals	armor_feet		2	0,0,0,0,12,0			1000	sandals	5	9												C,M	
334	Tunic of the Lightning Priest	armor_chest		3	0,0,20,0,0,10			4000	robe2_blue	0	20						tunic_blue						C,M	
335	Black Silk Leggings	armor_legs		3	10,0,10,0,0,0			1600	armor_chain_legs	0	12												C,M	
336	Breeches of the Mad Wizard	armor_legs		2	0,0,10,0,0,0			1600	armor_leather_legs_green	0	8												C,M	
337	Ragged Mittens	armor_arms		1	0,16,16,0,0,0			3000	mittens	4	8												C,M	
338	Gloves of the Archmage	armor_arms		2	13,0,0,0,0,13		[wisdom,1]	5000	mittens_blue	0	13												C,M	
339	Hood of the Hermit	armor_head		2	10,0,10,0,0,0		[detection,1][wisdom,1]	8000	armor_leather_head3	5	12												C,M	
340	Explorer Gauntlets	armor_arms		3	0,0,10,0,0,0	0,0,1,0,0,0	[tinkering,2]	3000	armor_leather_hands2	8	0												W,R	
