tag	EN	SP	RU	PT	DE	PL	CZ	TR	IT	FR
VAULT_COST	Buying this Magical Vault costs {COST} gold.	Comprar este Depósito Mágico cuesta {COST} monedas.	Покупка этого Волшебного Хранилища стоит {COST} золота.	Comprar este Cofre Mágico custa {COST} moedas.	Der Erwerb dieses magischen Tresors kostet {COST} Goldstücke.	Magiczny skarbiec kosztuje {COST} szt. złota.	Zakoupení tohoto Magického terzoru stojí {COST} zlaťáků.	Bu Büyülü Apps Kasası'nı satın almak {COST} altın maliyeti.	Comprare questa Cassaforte Magica costerà {COST} monete.	Acheter cette cave magique coûte {COST} pièces d'or.
VAULT_BUY	Do you want to buy this permanent magical vault for {COST} gold?	¿Quiéres este depósito permanente para tus objetos por {COST} monedas?	Вы хотите купить это постоянное волшебное хранилище за {COST} золота?	Você quer comprar este cofre mágico permanentemente por {COST} moedas?	Willst du diesen magischen Tresor für {COST} Goldstücke erwerben?	Czy chcesz kupić na stałe ten magiczny skarbiec za {COST} szt. złota?	Chceš opravdu zakoupit tento permanentní Magický trezor za {COST} zlaťáků?	{COST} altın için kalıcı büyülü tonozu satın almak istiyor musunuz?	Vuoi comprare questa Cassaforte Magica permanente per {COST} monete?	Voulez-vous acheter cette cave magique permanente pour {COST} pièces d'or?
VAULT_DESC	Magical Vaults can be used to store your items. You can access them from any Town Hall.	Los Depósitos Mágicos sirven para guardar equipo. Son accesibles desde cualquier Ayuntamiento.	Волшебные Хранилища могут использоваться для хранения Ваших вещей. Вы можете получить доступ к ним из любой Ратуши.	Os Cofre Mágicos servem para guardar equipamentos. São acessíveis de qualquer Prefeitura.	Verwende magische Tresore zur Lagerung deiner Gegenstände. Du kannst in jedem Rathaus darauf zugreifen.	W magicznym skarbcu możesz trzymać swoje przedmioty. Dostęp do niego uzyskasz w dowolnym ratuszu.	Magický trezor můžeš použit pro skladování tvých věcí. Máš do něj přistup z jakékoliv Radnice.	Eşyalarınızı saklamanız için Büyüsel Kasalar kullanılabilir. Onlara herhangi bir Belediye Binasından erişebilirsiniz.	La Cassaforte Magica può essere usata per depositare i tuoi oggetti. Vi puoi accedere da qualsiasi municipio.	Les caves magiques sont utilisées pour stocker vos objets. Vous pouvez y accéder à partir de n'importe quel Hôtel de Ville.
TH_FINE_CONFIRM	For [BLUE]{FINE} gold[] , officers can benevolently look another way, and forget some of your crimes. Do you agree?	A cambio de [BLUE]{FINE} monedas[], la autoridad puede mirar benévolamente a otro lado, y olvidar delitos. ¿Quieres pagar?	За [BLUE]{FINE}золота[] чиновники могут закрыть глаза на некоторые Ваши прегрешения. Вы согласны?	Por [BLUE]{FINE} moedas[], as autoridades podem mudar de ideia e esquecer alguns de seus crimes. Você aceita?	Für [BLUE]{FINE} Goldstücke[] können Beamte wohlwollend wegschauen und einige deiner Missetaten vergessen. Stimmst du zu?	Za [BLUE]{FINE}szt. złota[]strażnicy wspaniałomyślnie spojrzą w drugą stronę i zapomną o niektórych twoich przestępstwach. Co ty na to?	(Průměr z reputace pro [BLUE]{1}[] a [BLUE]{2}[])	[BLUE]{FINE} altın[] için, subaylar yardımsever başka bir yol izleyebilir ve suçlarınızdan bazılarını unutabilirler.katılıyor musun?	Per [BLUE]{FINE} monete, gli ufficiali possono chiudere volentieri un occhio sui tuoi crimini. Accetti?	Pour [BLUE]{FINE} pièces d'or[], les officiers acceptent de détourner les yeux et passer sur certains de vos crimes. Etes-vous d'accord?
TH_LABEL_AVERAGE	(Average of [BLUE]{1}[] and [BLUE]{2}[] reputation)	(Media de la reputación en [BLUE]{1}[] y [BLUE]{2}[])	(Средний показатель репутации между [BLUE]{1}[] и [BLUE]{2}[])	(Média da reputação em [BLUE]{1}[] e [BLUE]{2}[])	(Durchschnitt aus [BLUE]{1}[] und [BLUE]{2}[] Reputation)	(średnia z reputacji [BLUE]{1}[]oraz [BLUE]{2}[])	(Průměr reputace pro [BLUE]{1}[] a [BLUE]{2}[])	(Ortalama [BLUE]{1}[] ve [BLUE]{2}[] itibar)	(Media di [BLUE]{1}[] e [BLUE]{2}[] reputazione)	(Moyenne entre [BLUE]{1}[] et [BLUE]{2}[] points de réputation)
CONFIRMATION_OVERWRITE_GAME	Are you sure you want to overwrite this game with a new one?	Estás seguro de que quieres sobreescribir éste juego con uno nuevo?	Вы уверены, что хотите переписать эту игру новой?	Tem certeza que deseja sobrescrever esse jogo com um novo?	Bist du dir sicher, dass du dieses Spiel mit einem neuen überschreiben willst?	Czy na pewno chcesz nadpisać obecną grę?	Chceš přepsat tuto hru novou hrou?	Bu oyunu yeni bir oyun üzerine yazmak istediğinizden emin misiniz?	Sei sicuro di voler sovrascrivere questa partita con una nuova?	Etes-vous sur de vouloir remplacer cette partie par une nouvelle?
SLOTS_HELP	Game will resume from your last save. If you prefer to load from your autosave(last sleep) or other saves, click on the yellow folder button.	El juego continuará desde el último guardado. Si prefieres cargar tu autoguardado(al dormir) u otro guardado, pulsa en la carpeta.	Игра возобновится с вашего последнего сохранения. Если вы хотите загрузить ваше автосохранение (с последнего сна) или другое сохранение, нажмите на кнопку с желтой папкой.	O jogo continuará do último salvo. Se preferir carregar do seu último salv. automático (último sono) ou outro salvo, toque a pasta amarela.	Das Spiel wird mit dem letzten Spielstand fortgesetzt. Willst du hingegen eine Autospeicherung (letzte Rast) oder einen sonstigen Spielstand laden, berühre die gelbe Ordner-Schaltfläche.	Gra zostanie wznowiona od twojego ostatniego zapisu. Jeśli wolisz wczytać ostatni autozapis (z ostatniego odpoczynku) lub inny zapis, kliknij ikonę żółtego folderu. 	Hra bude pokračovat z tvého posledního uložení. Jestli preferuješ načtení z auto-uložení (poslední spánek) nebo ostatních uložení, klikni na žlutou složku.	Oyun son kaydetmenizden devam edecek.Otomatik kaydetmenizden (son uyku modundan) veya diğer kaydetmeden yüklemeyi tercih ederseniz, sarı klasör düğmesine tıklayın.	Il gioco caricherà dal tuo ultimo salvataggio. Se preferisci caricare da un tuo autosalvataggio (ultimo riposo) o altri salvataggi, clicca sul pulsante giallo.	Le jeu reprendra à partir de votre dernière sauvegarde. Si vous préférez reprendre à partir de votre sauvegarde automatique ou d'un tout autre point de sauvegarde, veuillez cliquer sur le dossier jaune.
WARRIOR_DESCRIPTION	Front-line fighters, trained to use almost every weapon or armor.[BLUE] (Learn more)[]	Luchadores de primera línea, entrenados con casi cualquier armadura o arma.[BLUE] (Leer más)[]	Бойцы передовой линии, обученные использовать почти любое оружие или броню. [BLUE](Узнать больше)[]	Lutadores de primeira linha, treinados com quase qualquer armadura ou arma.[BLUE] (Leia mais)[]	Frontkämpfer, trainiert im Umgang mit annähernd jeder Waffe oder Rüstung.[BLUE] (Mehr dazu)[]	Wojownicy walczą w pierwszej linii i są wytrenowani w używaniu niemalże dowolnej broni czy pancerza [BLUE](dowiedz się więcej).[]	Bojovník přední linie, vycvičen k použití jakékoliv zbraně či zbroje.[BLUE] (Zjistit více)[]	Hemen her silah veya zırhı kullanacak şekilde eğitilmiş cephe savaşçıları. [BLUE](Daha fazla bilgi edinin)[]	Combattenti di prima linea, addestrati per utilizzare quasi tutte le armi o armature..[BLUE] (Scopri di più)[]	Les guerriers sont passés maître en matière d’armes et d’armures de toutes sortes. [BLUE](En savoir plus)[]
ROGUE_DESCRIPTION	Sneaky and deadly, rogues deal a lot of damage, and have a varied set of skills.[BLUE] (Learn more)[]	Silencioso y mortal, los ladrones son luchadores agresivos con habilidades muy variadas.[BLUE] (Leer más)[]	Тихие и смертельно опасные плуты наносят много урона и имеют разнообразный набор навыков.[BLUE](Узнать больше)[]	Silencioso e mortal, os ladrões são lutadores agressivos com habilidades variadas. [BLUE] (Leia mais)[]	Durchtrieben und tödlich. Diebe teilen eine Menge Schaden aus und haben eine vielfältige Auswahl an Fertigkeiten.[BLUE] (Mehr dazu)[]	Podstępni i zabójczy łotrzykowie zadają dużo obrażeń i mają zestaw różnorodnych umiejętności [BLUE](dowiedz się więcej).[]	Tichý a vražedný, Darebák uštědřuje závažná zranění a má mnoho možností, jak uspořádat vlastnosti.[BLUE] (Zjistit více)[]	Gizemli ve ölümcül, sahtekarlar çok fazla zarar verir ve çeşitli becerilere sahiptirler. [BLUE](Daha fazla bilgi edinin)[]	Subdolo e letale, i ladri infliggono molti danni e hanno svariate capacità..[BLUE] (Scopri di più)[]	Sournois et mortels, les voleurs sont capables de porter des coups terribles contre les ennemis et possèdent un ensemble varié de compétences. [BLUE](En savoir plus)[]
CLERIC_DESCRIPTION	Powerful war-priests blessed by the Three. Formidable against undead.[BLUE] (Learn more)[]	Poderosos guerreros sagrados, bendecidos por Los Tres. Formidables contra muertos vivientes.[BLUE] (Leer más)[]	Могучие боевые жрецы, благословленные Тремя. Грозные против нежити. [BLUE] (Learn more)[]	Poderosos guerreiros sagrados, abençoados por Os Três. Formidáveis contra mortos vivos.[BLUE] (Leia mais)[]	Mächtige Kriegspriester, gesegnet von den Dreien. Überragend im Kampf gegen Untote.[BLUE] (Mehr dazu)[]	Potężni kapłani wojny, błogosławieni przez Trójcę. Skuteczni przeciwko nieumarłym [BLUE](dowiedz się więcej).[]	Mocný kněz-válečník, požehnán svatou Trojicí je pro nemrtvé metlou boží.[BLUE] (Zjistit více)[]	Üçlü tarafından kutsanmış güçlü savaş rahipleri.Undead'a karşı üstün. [BLUE](Daha fazla bilgi edinin)[]	Potenti signori della guerra benedetti dai Tre. Formidabili contro i nonmorti. [BLUE] (Scopri di più)[]	Ces puissants Prêtres-Guerriers, bénis par les Trois, sont de féroces combattants contre les morts-vivants. [BLUE](En savoir plus)[]
