spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
grey_wolf									co	beasts			1	5		
wolf									co	beasts			3	7		
dire_wolf									co	beasts			5	8		
bear									co	beasts			7	12		
wyvern_whelp									co	beasts			7	12		
wyvern_whelp									co	beasts			9	13		
sabercat									co	beasts			9	13		
vorator_belch									co	beasts			9	14		
powerful_wolf									co	beasts			10			
sabercat_alpha									co	beasts			11			
stomper									co	beasts			11			
swamp_horror									co	beasts			11			
eviscerator									co	beasts			12			
worg									co	beasts			13			
bear_ogre									co	beasts			14			
horror_small2									co	beasts			15			
green_dragon									co	beasts			15	20		
red_dragon									co	beasts			18			
dragon_q2									un	beasts			20			
dragon_q3									un	beasts			21			
skullhead									ra	beasts			21			
reaper_dragon									un	beasts			22			
green_serpent									un	beasts			24			
